Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Ky Bowman\bowmaky01,PG,.417,0.7,.469,.829,2.7,2.9,1.0,0.2,1.6,7.4
Avery Bradley\bradlav01,SG,.444,1.3,.526,.833,2.3,1.3,0.9,0.1,1.0,8.6
Tony Bradley\bradlto01,C,.667,0.1,.675,.652,4.6,0.4,0.2,0.6,0.5,4.9
Jarrell Brantley\brantja01,PF,.357,0.3,.411,.500,2.2,1.2,0.3,0.6,0.8,2.7
Ignas Brazdeikis\brazdig01,SF,.273,0.1,.295,.800,0.6,0.4,0.0,0.1,0.2,1.9
Corey Brewer\breweco01,PF,.500,0.0,.500,.333,1.6,0.4,0.8,0.0,0.4,1.0
Mikal Bridges\bridgmi01,SF,.510,1.0,.583,.844,4.0,1.8,1.4,0.6,1.0,9.1
Miles Bridges\bridgmi02,SF,.424,1.5,.489,.809,5.6,1.8,0.6,0.7,1.5,13.0
Oshae Brissett\brissos01,SF,.361,0.2,.403,.800,1.4,0.4,0.2,0.1,0.4,1.9
Ryan Broekhoff\broekry01,SF,.373,1.2,.542,.875,2.5,0.6,0.3,0.2,0.4,4.2
Malcolm Brogdon\brogdma01,PG,.438,1.4,.489,.892,4.9,7.1,0.6,0.2,2.4,16.5
Dillon Brooks\brookdi01,SG,.407,2.0,.476,.808,3.3,2.1,0.9,0.4,1.7,16.2
Bruce Brown\brownbr01,PG,.443,0.6,.480,.739,4.7,4.0,1.1,0.5,1.7,8.9
Charlie Brown\brownch02,SG,.316,0.3,.395,1.000,0.4,0.2,0.2,0.2,0.3,2.0
Jaylen Brown\brownja02,SG,.481,2.3,.554,.724,6.4,2.1,1.1,0.4,2.2,20.3
Moses Brown\brownmo01,C,.400,0.0,.400,.375,1.6,0.1,0.1,0.1,0.3,1.2
Sterling Brown\brownst02,SF,.371,0.8,.457,.800,3.5,1.0,0.6,0.1,0.8,5.1
Troy Brown Jr.\browntr01,SF,.439,0.9,.488,.784,5.6,2.6,1.2,0.1,1.1,10.4
Jalen Brunson\brunsja01,PG,.466,0.8,.522,.813,2.4,3.3,0.4,0.1,1.2,8.2
Thomas Bryant\bryanth01,C,.581,0.8,.626,.741,7.2,1.8,0.5,1.1,1.2,13.2
Reggie Bullock\bullore01,SG,.402,1.3,.484,.810,2.3,1.4,0.9,0.1,0.7,8.1
Trey Burke\burketr01,PG,.450,1.0,.526,.793,1.5,2.5,0.5,0.1,0.6,7.4
Alec Burks\burksal01,SF-SG,.418,1.8,.493,.887,4.3,2.9,0.9,0.3,1.4,15.0
Deonte Burton\burtode02,SF,.344,0.3,.384,.571,1.5,0.4,0.2,0.3,0.5,2.7
Jimmy Butler\butleji01,SF,.455,0.5,.474,.834,6.7,6.0,1.8,0.6,2.2,19.9
Bruno Caboclo\cabocbr01,C,.427,0.2,.461,.889,2.0,0.4,0.5,0.6,0.4,3.0
Devontae Cacok\cacokde01,C,.500,0.0,.500,,5.0,1.0,0.0,0.0,0.0,6.0
Kentavious Caldwell-Pope\caldwke01,SG,.467,1.3,.558,.775,2.1,1.6,0.8,0.2,0.9,9.3
Vlatko Čančar\cancavl01,PF,.400,0.1,.433,1.000,0.7,0.2,0.1,0.1,0.2,1.2
Clint Capela\capelca01,C,.629,0.0,.629,.529,13.8,1.2,0.8,1.8,1.6,13.9
DeMarre Carroll\carrode01,SF-C,.379,0.3,.439,.690,2.3,1.0,0.3,0.2,0.7,3.6
Jevon Carter\carteje01,PG,.416,1.1,.543,.852,2.0,1.4,0.8,0.3,0.6,4.9
Vince Carter\cartevi01,PF,.352,1.0,.452,.793,2.1,0.8,0.4,0.4,0.6,5.0
Wendell Carter Jr.\cartewe01,C,.534,0.1,.542,.737,9.4,1.2,0.8,0.8,1.7,11.3
Michael Carter-Williams\cartemi01,SG,.427,0.5,.469,.832,3.3,2.4,1.1,0.5,1.2,7.2
Alex Caruso\carusal01,PG,.412,0.6,.481,.734,1.9,1.9,1.1,0.3,0.8,5.5
Willie Cauley-Stein\caulewi01,C,.579,0.0,.579,.606,5.8,1.3,0.9,1.1,0.7,7.2
Tyson Chandler\chandty01,C,.778,0.0,.778,.462,2.5,0.2,0.2,0.3,0.3,1.3
Wilson Chandler\chandwi01,PF,.404,1.1,.505,.870,4.1,1.1,0.5,0.3,1.0,5.9
Joe Chealey\chealjo01,PG,.000,0.0,.000,1.000,0.0,0.3,1.0,0.0,0.5,0.5
Zylan Cheatham\cheatzy01,PF,.667,0.0,.667,,2.3,0.8,0.3,0.3,1.0,3.0
Chris Chiozza\chiozch01,PG,.393,1.0,.489,1.000,1.9,3.0,0.8,0.1,1.1,5.1
Marquese Chriss\chrisma01,PF,.545,0.1,.556,.769,6.2,1.9,0.7,1.1,1.3,9.3
Gary Clark\clarkga01,SF-PF,.406,0.9,.553,.900,2.6,0.4,0.1,0.5,0.2,3.7
Brandon Clarke\clarkbr01,PF,.618,0.4,.642,.759,5.9,1.4,0.6,0.8,0.9,12.1
Jordan Clarkson\clarkjo01,SG,.454,2.1,.542,.836,2.6,1.9,0.6,0.2,1.4,15.2
Nicolas Claxton\claxtni01,C,.563,0.1,.573,.524,2.9,1.1,0.1,0.5,0.6,4.4
Chris Clemons\clemoch01,SG,.401,1.1,.532,.909,0.9,0.8,0.3,0.2,0.6,4.9
Antonius Cleveland\clevean01,SG,.286,0.0,.286,.600,0.6,0.1,0.1,0.3,0.2,1.0
Amir Coffey\coffeam01,SG,.426,0.3,.481,.545,0.9,0.8,0.3,0.1,0.4,3.2
John Collins\collijo01,PF,.583,1.4,.632,.800,10.1,1.5,0.8,1.6,1.8,21.6
Zach Collins\colliza01,PF,.471,0.6,.522,.750,6.3,1.5,0.5,0.5,1.3,7.0
Mike Conley\conlemi01,PG,.409,2.0,.494,.827,3.2,4.4,0.8,0.1,2.0,14.4
Pat Connaughton\connapa01,SG,.455,0.8,.547,.775,4.2,1.6,0.4,0.5,0.8,5.4
Quinn Cook\cookqu01,PG,.425,0.7,.498,.786,1.2,1.1,0.3,0.0,0.8,5.1
