Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
B.J. Johnson\johnsbj01,SF,.281,0.3,.328,.900,1.5,0.3,0.3,0.0,0.6,3.0
Cameron Johnson\johnsca02,PF,.435,1.9,.565,.807,3.3,1.2,0.6,0.4,0.6,8.8
James Johnson\johnsja01,PF-C,.479,1.0,.556,.646,3.7,2.3,0.8,1.0,1.5,8.4
Keldon Johnson\johnske04,SF,.596,0.8,.669,.795,3.4,0.9,0.8,0.1,0.8,9.1
Stanley Johnson\johnsst04,PF,.373,0.3,.432,.563,1.5,0.8,0.2,0.2,0.6,2.4
Tyler Johnson\johnsty01,PG-SG,.388,1.0,.464,.840,1.9,1.9,0.4,0.2,0.7,7.0
Nikola Jokić\jokicni01,C,.528,1.1,.565,.817,9.7,7.0,1.2,0.6,3.1,19.9
Damian Jones\jonesda03,C,.680,0.0,.685,.738,3.7,0.6,0.5,0.7,0.5,5.6
Derrick Jones Jr.\jonesde02,SF,.527,0.6,.580,.772,3.9,1.1,1.0,0.6,0.5,8.5
Tyus Jones\jonesty01,PG,.459,0.7,.514,.741,1.6,4.4,0.9,0.1,0.8,7.4
DeAndre Jordan\jordade01,C,.666,0.0,.666,.680,10.0,1.9,0.3,0.9,1.3,8.3
Cory Joseph\josepco01,PG,.415,0.8,.483,.857,2.6,3.5,0.7,0.3,1.1,6.4
Mfiondu Kabengele\kabenmf01,C,.438,0.8,.578,1.000,0.9,0.2,0.2,0.2,0.2,3.5
Frank Kaminsky\kaminfr01,C,.450,1.1,.516,.678,4.5,1.9,0.4,0.3,0.9,9.7
Enes Kanter\kanteen01,C,.572,0.0,.573,.707,7.4,1.0,0.4,0.7,1.0,8.1
Luke Kennard\kennalu01,SG,.442,2.6,.548,.893,3.5,4.1,0.4,0.2,1.5,15.8
Stanton Kidd\kiddst01,SG,.000,0.0,.000,,0.8,0.3,0.0,0.0,0.5,0.0
Michael Kidd-Gilchrist\kiddgmi01,PF,.333,0.2,.371,.786,2.7,0.6,0.1,0.2,0.6,2.4
Louis King\kinglo02,SF,.381,0.4,.476,.000,1.0,0.5,0.2,0.0,0.2,2.0
Maxi Kleber\klebima01,PF,.461,1.6,.577,.849,5.2,1.2,0.3,1.1,0.8,9.1
Brandon Knight\knighbr03,SG-PG,.353,1.8,.488,.588,1.6,2.8,0.4,0.1,1.5,7.3
Kevin Knox\knoxke01,SF,.359,1.0,.440,.653,2.8,0.9,0.4,0.4,0.7,6.4
John Konchar\konchjo01,SG,.649,0.3,.716,.500,2.5,1.2,0.4,0.2,0.4,2.8
Furkan Korkmaz\korkmfu01,SG,.430,2.0,.557,.755,2.3,1.1,0.6,0.2,0.8,9.8
Luke Kornet\kornelu01,C,.439,0.9,.521,.714,2.3,0.9,0.3,0.7,0.4,6.0
Kyle Korver\korveky01,SF,.430,1.7,.599,.854,2.1,1.2,0.4,0.2,0.8,6.7
Rodions Kurucs\kurucro01,PF,.446,0.7,.540,.632,2.9,1.1,0.5,0.1,1.0,4.6
Kyle Kuzma\kuzmaky01,PF,.436,1.4,.500,.735,4.5,1.3,0.5,0.4,1.5,12.8
Skal Labissière\labissk01,C,.551,0.1,.561,.758,5.1,1.3,0.2,0.9,0.9,5.8
Jeremy Lamb\lambje01,SG,.451,1.2,.506,.836,4.3,2.1,1.2,0.5,1.1,12.5
Romeo Langford\langfro01,SG,.350,0.2,.381,.720,1.3,0.4,0.3,0.3,0.3,2.5
Zach LaVine\lavinza01,SG,.450,3.1,.526,.802,4.8,4.2,1.5,0.5,3.4,25.5
Vic Law\lawvi01,PF,.333,0.1,.361,.333,1.4,0.4,0.3,0.0,0.3,1.9
Jake Layman\laymaja01,SF,.453,1.0,.520,.750,2.5,0.7,0.7,0.4,1.0,9.1
T.J. Leaf\leaftj01,PF,.419,0.2,.448,.438,2.5,0.3,0.4,0.1,0.3,3.0
Jalen Lecque\lecquja01,SG,.400,0.0,.400,1.000,0.4,0.4,0.0,0.0,0.4,2.0
Courtney Lee\leeco01,SG,.488,0.9,.616,.857,1.3,0.5,0.8,0.3,0.5,4.5
Damion Lee\leeda03,SG,.417,1.7,.500,.873,4.9,2.7,1.0,0.1,1.4,12.7
Alex Len\lenal01,C,.555,0.3,.580,.648,5.8,0.9,0.4,0.9,1.0,8.0
Kawhi Leonard\leonaka01,SF,.470,2.2,.524,.886,7.1,4.9,1.8,0.6,2.6,27.1
Meyers Leonard\leoname01,C,.509,1.0,.622,.643,5.1,1.1,0.3,0.3,0.8,6.1
Caris LeVert\leverca01,SG,.425,1.8,.480,.711,4.2,4.4,1.2,0.2,2.6,18.7
Damian Lillard\lillada01,PG,.463,4.1,.563,.888,4.3,8.0,1.1,0.3,2.9,30.0
Nassir Little\littlna01,PF,.430,0.3,.477,.636,2.3,0.5,0.3,0.3,0.3,3.6
Kevon Looney\looneke01,C,.367,0.1,.373,.750,3.3,1.0,0.6,0.3,0.6,3.4
Brook Lopez\lopezbr01,C,.435,1.5,.511,.836,4.6,1.5,0.7,2.4,1.0,12.0
Robin Lopez\lopezro01,C,.492,0.5,.550,.528,2.4,0.7,0.2,0.7,1.0,5.4
Kevin Love\loveke01,PF,.450,2.6,.550,.854,9.8,3.2,0.6,0.3,2.5,17.6
Kyle Lowry\lowryky01,PG,.416,2.8,.518,.857,5.0,7.5,1.4,0.4,3.1,19.4
Timothé Luwawu-Cabarrot\luwawti01,SF,.435,1.3,.550,.852,2.7,0.6,0.4,0.1,0.8,7.8
Trey Lyles\lylestr01,PF,.446,1.0,.541,.733,5.7,1.1,0.4,0.4,0.6,6.4
Daryl Macon\maconda01,PG,.333,0.3,.500,,0.0,0.3,0.0,0.0,0.5,0.8
J.P. Macura\macurjp01,SG,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Josh Magette\magetjo01,PG,.333,0.1,.367,.500,0.8,0.6,0.4,0.1,0.6,1.5
Ian Mahinmi\mahinia01,C,.495,0.1,.507,.619,5.7,1.3,0.8,1.2,1.2,7.4
Thon Maker\makerth01,C,.482,0.4,.539,.664,2.8,0.7,0.4,0.7,0.8,4.7
Terance Mann\mannte01,SF,.468,0.2,.513,.667,1.3,1.3,0.3,0.1,0.4,2.4
Boban Marjanović\marjabo01,C,.573,0.1,.583,.754,4.5,0.5,0.2,0.2,0.7,6.6
Lauri Markkanen\markkla01,PF,.425,2.2,.517,.824,6.3,1.5,0.8,0.5,1.6,14.7
Caleb Martin\martica02,SF,.440,1.1,.560,.810,2.1,1.3,0.7,0.4,0.8,6.2
Cody Martin\martico01,SF,.430,0.4,.473,.646,3.3,2.0,0.8,0.2,0.9,5.0
Jeremiah Martin\martije02,PG,.453,0.6,.500,.786,1.1,2.0,0.8,0.2,0.4,7.1
Kelan Martin\martike03,SF,.392,0.8,.461,.968,3.1,0.7,0.2,0.3,0.6,6.4
Frank Mason III\masonfr01,PG,.451,0.7,.510,.588,2.1,3.2,0.6,0.1,1.2,6.9
Garrison Mathews\mathega01,SG,.429,1.1,.598,.912,1.3,0.6,0.4,0.1,0.4,5.4
Wesley Matthews\matthwe02,SG,.396,1.6,.524,.765,2.5,1.4,0.6,0.1,0.6,7.4
Luc Mbah a Moute\mbahalu01,PF,.400,0.0,.400,.500,0.7,0.0,0.7,0.0,0.3,1.7
Patrick McCaw\mccawpa01,SF,.414,0.6,.485,.722,2.3,2.1,1.1,0.1,0.8,4.6
CJ McCollum\mccolcj01,SG,.451,2.8,.522,.757,4.2,4.4,0.8,0.6,1.8,22.2
T.J. McConnell\mccontj01,PG,.516,0.1,.522,.833,2.7,5.0,0.8,0.2,1.4,6.5
Jalen McDaniels\mcdanja01,SF,.471,0.6,.536,.824,4.1,0.8,0.5,0.2,0.7,5.6
Doug McDermott\mcderdo01,PF,.488,1.9,.605,.828,2.5,1.1,0.2,0.1,0.6,10.3
JaVale McGee\mcgeeja01,C,.637,0.0,.642,.646,5.7,0.5,0.5,1.4,0.8,6.6
Rodney McGruder\mcgruro01,SG,.398,0.4,.464,.559,2.7,0.6,0.5,0.1,0.4,3.3
Alfonzo McKinnie\mckinal01,SF,.427,0.4,.468,.710,2.8,0.4,0.6,0.2,0.7,4.6
Jordan McLaughlin\mclaujo01,PG,.489,1.0,.570,.667,1.6,4.2,1.1,0.1,1.0,7.6
Ben McLemore\mclembe01,SF,.444,2.5,.610,.746,2.2,0.8,0.6,0.2,0.7,10.1
Jordan McRae\mcraejo01,SG,.407,1.2,.469,.761,3.4,2.5,0.6,0.4,1.2,11.5
Nicolò Melli\mellini01,C,.421,1.2,.528,.740,3.0,1.4,0.6,0.4,0.8,6.6
De'Anthony Melton\meltode01,PG,.401,0.7,.451,.769,3.7,2.9,1.3,0.3,1.4,7.6
Chimezie Metu\metuch01,C,.571,0.0,.571,.769,1.8,0.6,0.2,0.3,0.6,3.2
Khris Middleton\middlkh01,SF,.497,2.4,.575,.916,6.2,4.3,0.9,0.1,2.2,20.9
Eric Mika\mikaer01,C,.667,0.0,.667,1.000,7.0,0.0,0.0,0.0,0.0,6.0
C.J. Miles\milescj01,SF,.322,1.1,.415,.750,1.2,1.2,1.0,0.4,0.4,6.4
Malcolm Miller\millema01,SF,.414,0.3,.552,.375,0.6,0.4,0.2,0.1,0.1,1.3
Patty Mills\millspa02,PG,.431,2.3,.560,.866,1.6,1.8,0.8,0.1,0.8,11.6
Paul Millsap\millspa01,PF,.482,1.1,.543,.816,5.7,1.6,0.9,0.6,1.4,11.6
Shake Milton\miltosh01,SG,.484,1.5,.588,.785,2.2,2.6,0.5,0.2,1.2,9.4
Donovan Mitchell\mitchdo01,SG,.449,2.5,.513,.863,4.4,4.3,1.0,0.2,2.7,24.0
Naz Mitrou-Long\mitrona01,SG,.353,0.4,.412,,1.4,1.6,0.2,0.2,0.6,2.8
Adam Mokoka\mokokad01,SF,.429,0.5,.536,.500,0.9,0.4,0.4,0.0,0.2,2.9
Malik Monk\monkma01,SG,.434,1.1,.494,.820,2.9,2.1,0.5,0.3,1.4,10.3
Matt Mooney\moonema01,SG,.250,0.0,.250,,0.8,0.3,0.5,0.3,0.0,0.5
E'Twaun Moore\mooreet01,SG,.426,1.1,.498,.689,2.3,1.4,0.6,0.2,0.7,8.3
Ja Morant\moranja01,PG,.477,0.9,.509,.776,3.9,7.3,0.9,0.3,3.3,17.8
Juwan Morgan\morgaju01,PF,.577,0.1,.635,.750,1.4,0.3,0.0,0.1,0.3,1.7
Marcus Morris\morrima03,SF-PF,.438,2.3,.526,.823,5.0,1.4,0.8,0.5,1.6,16.7
Markieff Morris\morrima02,PF,.443,1.5,.539,.776,3.8,1.3,0.5,0.3,1.3,9.7
Monte Morris\morrimo01,PG,.459,0.9,.517,.843,1.9,3.5,0.8,0.2,0.7,9.0
Johnathan Motley\motlejo01,PF,.733,0.1,.767,.714,0.8,0.6,0.2,0.0,0.4,2.2
Emmanuel Mudiay\mudiaem01,PG,.462,0.6,.508,.759,2.3,2.1,0.4,0.2,1.4,7.3
Mychal Mulder\muldemy01,SF,.388,2.3,.507,.750,3.3,1.1,0.3,0.1,0.7,11.0
Dejounte Murray\murrade01,PG,.462,0.6,.494,.798,5.8,4.1,1.7,0.3,1.9,10.9
Jamal Murray\murraja01,PG,.456,1.9,.519,.881,4.0,4.8,1.1,0.3,2.2,18.5
Džanan Musa\musadz01,SF,.372,0.5,.427,.750,2.2,1.1,0.4,0.0,0.9,4.8
Mike Muscala\muscami01,C,.407,1.1,.550,.818,2.3,0.9,0.2,0.3,0.4,4.8
Sviatoslav Mykhailiuk\mykhasv01,SF,.410,2.1,.552,.814,1.9,1.9,0.7,0.1,1.1,9.0
Abdel Nader\naderab01,SF,.468,0.9,.559,.773,1.8,0.7,0.4,0.4,0.8,6.3
Larry Nance Jr.\nancela02,PF,.531,1.0,.596,.676,7.3,2.2,1.0,0.4,1.1,10.1
Shabazz Napier\napiesh01,PG,.412,1.4,.496,.824,2.8,4.7,1.2,0.2,2.3,10.3
Raul Neto\netora01,PG,.455,0.6,.532,.830,1.1,1.8,0.4,0.1,0.9,5.1
Malik Newman\newmama01,SG,.000,0.0,.000,1.000,0.0,0.0,0.0,0.0,1.0,2.0
Georges Niang\niangge01,PF,.438,1.4,.578,.833,1.9,0.7,0.3,0.1,0.5,5.9
Joakim Noah\noahjo01,C,.500,0.0,.500,.750,3.2,1.4,0.2,0.2,1.2,2.8
Nerlens Noel\noelne01,C,.684,0.0,.686,.755,4.9,0.9,1.0,1.5,1.1,7.4
Zach Norvell\norveza01,SG,.250,0.6,.375,1.000,1.2,0.6,0.4,0.0,0.6,2.0
Jaylen Nowell\nowelja01,SG,.358,0.2,.387,.941,0.9,1.3,0.2,0.1,0.2,3.8
Frank Ntilikina\ntilila01,PG,.393,0.8,.459,.864,2.1,3.0,0.9,0.3,1.2,6.3
Kendrick Nunn\nunnke01,PG,.439,2.0,.514,.850,2.7,3.3,0.8,0.2,1.7,15.3
Jusuf Nurkić\nurkiju01,C,.495,0.3,.505,.886,10.3,4.0,1.4,2.0,2.4,17.6
David Nwaba\nwabada01,SF,.521,0.6,.606,.667,2.3,0.4,0.6,0.6,0.4,5.2
Royce O'Neale\onealro01,SF,.433,1.3,.559,.764,5.5,2.5,0.8,0.5,0.9,6.3
Kyle O'Quinn\oquinky01,C,.494,0.2,.535,.550,4.0,1.8,0.2,0.8,0.7,3.5
Semi Ojeleye\ojelese01,PF,.408,0.7,.531,.875,2.1,0.5,0.3,0.1,0.3,3.4
Jahlil Okafor\okafoja01,C,.623,0.0,.627,.645,4.2,1.2,0.2,0.7,1.3,8.1
Elie Okobo\okoboel01,PG,.398,0.5,.467,.704,1.6,2.1,0.4,0.1,0.7,4.0
Josh Okogie\okogijo01,SG,.427,0.7,.479,.796,4.3,1.6,1.1,0.4,1.4,8.6
KZ Okpala\okpalkz01,PF,.600,0.0,.600,.500,1.0,0.2,0.4,0.2,0.2,1.4
Victor Oladipo\oladivi01,SG,.394,1.7,.461,.814,3.9,2.9,0.9,0.2,2.5,14.5
Kelly Olynyk\olynyke01,C,.462,1.4,.582,.860,4.6,1.7,0.7,0.3,1.1,8.2
Miye Oni\onimi01,SF,.375,0.7,.484,.800,1.7,0.4,0.4,0.2,0.4,3.5
Cedi Osman\osmande01,SF,.437,1.9,.538,.670,3.6,2.4,0.8,0.2,1.4,11.0
Kelly Oubre Jr.\oubreke01,SF,.452,1.9,.517,.780,6.4,1.5,1.3,0.7,1.5,18.7
Tariq Owens\owensta01,PF,.200,0.0,.200,1.000,1.0,0.0,0.3,0.0,0.0,1.3
Jeremy Pargo\pargoje01,PG,.500,1.0,.568,.000,1.0,2.7,0.3,0.0,1.3,8.3
Jabari Parker\parkeja01,PF,.510,0.8,.548,.753,5.6,1.8,1.2,0.4,1.7,14.0
Chandler Parsons\parsoch01,PF,.278,0.8,.389,,1.4,0.6,0.8,0.2,0.6,2.8
Eric Paschall\pascher01,PF,.497,0.6,.526,.774,4.6,2.1,0.5,0.2,1.6,14.0
Anžejs Pasečņiks\pasecan01,C,.526,0.0,.526,.586,4.0,0.7,0.3,0.4,0.9,5.8
Patrick Patterson\pattepa01,PF,.408,1.1,.552,.814,2.6,0.7,0.1,0.1,0.4,4.9
Justin Patton\pattoju01,C,.400,0.2,.450,,1.0,0.4,0.0,0.0,0.4,1.8
Chris Paul\paulch01,PG,.489,1.6,.552,.907,5.0,6.7,1.6,0.2,2.3,17.6
Cameron Payne\payneca01,SG,.485,1.9,.596,.857,3.9,3.0,1.0,0.3,1.4,10.9
Elfrid Payton\paytoel01,PG,.439,0.3,.455,.570,4.7,7.2,1.6,0.4,2.1,10.0
Gary Payton II\paytoga02,SF,.414,0.4,.470,.500,2.8,1.7,1.1,0.2,0.7,3.9
Norvel Pelle\pelleno01,C,.521,0.0,.521,.500,3.0,0.3,0.1,1.3,0.8,2.4
Theo Pinson\pinsoth01,SG,.290,0.5,.339,.938,1.6,1.7,0.5,0.1,1.0,3.6
Mason Plumlee\plumlma01,C,.615,0.0,.615,.535,5.2,2.5,0.5,0.6,1.3,7.2
Jakob Poeltl\poeltja01,C,.624,0.0,.624,.465,5.7,1.8,0.6,1.4,0.8,5.6
Vincent Poirier\poirivi01,C,.472,0.0,.486,.857,2.0,0.4,0.1,0.4,0.4,1.9
Shamorie Ponds\pondssh01,PG,.600,0.3,.700,1.000,0.3,0.5,0.0,0.3,0.0,2.3
Jordan Poole\poolejo01,SG,.333,1.3,.406,.798,2.1,2.4,0.6,0.2,1.3,8.8
Kevin Porter Jr.\porteke02,SF,.442,1.1,.505,.723,3.2,2.2,0.9,0.3,1.9,10.0
Michael Porter Jr.\portemi01,SF,.509,1.1,.590,.833,4.7,0.8,0.5,0.5,0.9,9.3
Otto Porter\porteot01,SF,.443,1.7,.529,.704,3.4,1.8,1.1,0.4,0.8,11.9
Bobby Portis\portibo01,PF,.450,1.0,.507,.763,5.1,1.5,0.5,0.3,1.1,10.1
Kristaps Porziņģis\porzikr01,C,.427,2.5,.503,.799,9.5,1.8,0.7,2.0,1.6,20.4
Dwight Powell\poweldw01,C,.638,0.3,.659,.667,5.7,1.5,0.9,0.6,0.9,9.4
Norman Powell\powelno01,SG,.495,2.1,.586,.843,3.7,1.8,1.2,0.4,1.5,16.0
Taurean Prince\princta02,PF,.376,2.3,.475,.798,6.0,1.8,0.9,0.4,2.0,12.1
Chasson Randle\randlch01,PG,.000,0.0,.000,.833,0.7,1.7,0.7,0.0,0.0,1.7
Julius Randle\randlju01,PF,.460,1.0,.492,.733,9.7,3.1,0.8,0.3,3.0,19.5
Josh Reaves\reavejo02,SF,.333,0.0,.333,1.000,0.8,0.8,0.0,0.0,0.0,2.0
Cam Reddish\reddica01,SF,.384,1.4,.459,.802,3.7,1.5,1.1,0.5,1.7,10.5
J.J. Redick\redicjj01,SG,.453,3.0,.596,.892,2.5,2.0,0.3,0.2,1.3,15.3
Naz Reid\reidna01,C,.412,1.1,.477,.698,4.1,1.2,0.6,0.7,0.7,9.0
Josh Richardson\richajo01,SG,.430,1.5,.496,.809,3.2,2.9,0.9,0.7,1.9,13.7
Austin Rivers\riverau01,SG,.421,1.4,.517,.703,2.6,1.7,0.7,0.1,0.7,8.8
Andre Roberson\roberan03,SF,.276,0.4,.328,.500,3.9,0.6,0.1,0.4,0.3,2.9
Duncan Robinson\robindu01,SG,.470,3.7,.667,.931,3.2,1.4,0.5,0.3,1.0,13.5
Glenn Robinson III\robingl02,SF,.486,1.2,.552,.860,4.4,1.5,0.9,0.3,0.9,11.7
Jerome Robinson\robinje01,SG,.371,0.8,.450,.702,2.0,1.4,0.4,0.3,0.8,5.1
Justin Robinson\robinju01,PG,.417,0.3,.542,,0.6,0.8,0.0,0.1,0.3,1.4
Mitchell Robinson\robinmi01,C,.742,0.0,.742,.568,7.0,0.6,0.9,2.0,0.6,9.7
Isaiah Roby\robyis01,PF,.000,0.0,.000,,0.7,0.0,0.0,0.0,0.3,0.0
Rajon Rondo\rondora01,PG,.418,0.9,.480,.659,3.0,5.0,0.8,0.0,1.9,7.1
Derrick Rose\rosede01,PG,.490,0.9,.520,.871,2.4,5.6,0.8,0.3,2.5,18.1
Terrence Ross\rosste01,SG,.403,2.6,.508,.853,3.2,1.2,1.1,0.3,1.0,14.7
Terry Rozier\roziete01,PG,.423,2.7,.514,.874,4.4,4.1,1.0,0.2,2.2,18.0
Ricky Rubio\rubiori01,PG,.415,1.2,.471,.863,4.7,8.8,1.4,0.2,2.7,13.0
D'Angelo Russell\russeda01,PG,.426,3.5,.519,.809,3.9,6.3,1.1,0.3,3.3,23.1
Domantas Sabonis\sabondo01,PF,.540,0.3,.550,.723,12.4,5.0,0.8,0.5,2.7,18.5
Luka Šamanić\samanlu01,PF,.313,1.0,.406,.750,3.3,2.0,0.0,0.7,0.7,5.3
JaKarr Sampson\sampsja02,PF,.591,0.1,.600,.667,2.6,0.6,0.5,0.4,0.4,4.6
Dario Šarić\saricda01,PF,.476,1.3,.554,.844,6.2,1.9,0.6,0.2,1.3,10.7
Tomáš Satoranský\satorto01,SG,.430,1.0,.488,.876,3.9,5.4,1.2,0.1,2.0,9.9
Admiral Schofield\schofad01,PF,.380,0.6,.484,.667,1.4,0.5,0.2,0.1,0.2,3.0
Dennis Schröder\schrode01,PG,.469,1.9,.534,.839,3.6,4.0,0.7,0.2,2.6,18.9
Mike Scott\scottmi01,PF,.426,1.2,.540,.811,3.6,0.8,0.3,0.1,0.4,6.0
Thabo Sefolosha\sefolth01,PF,.407,0.4,.489,.375,2.3,0.6,0.6,0.3,0.4,2.2
Collin Sexton\sextoco01,PG,.472,1.5,.517,.846,3.1,3.0,1.0,0.1,2.4,20.8
Landry Shamet\shamela01,SG,.404,2.1,.546,.855,1.9,1.9,0.4,0.2,0.8,9.3
Marial Shayok\shayoma01,SG,.250,0.5,.333,.750,1.8,0.3,0.0,0.3,0.8,2.8
Iman Shumpert\shumpim01,SF,.328,0.6,.391,.571,2.6,0.9,0.9,0.2,0.8,4.2
Pascal Siakam\siakapa01,PF,.453,2.2,.512,.792,7.3,3.5,1.0,0.9,2.5,22.9
Chris Silva\silvach01,PF,.615,0.0,.615,.673,2.9,0.5,0.2,0.5,0.7,3.0
Ben Simmons\simmobe01,PG,.580,0.0,.581,.621,7.8,8.0,2.1,0.6,3.5,16.4
Anfernee Simons\simonan01,SG,.399,1.1,.469,.826,2.2,1.4,0.4,0.1,0.9,8.3
Alen Smailagić\smailal01,C,.500,0.2,.538,.842,1.9,0.9,0.2,0.3,0.8,4.2
Marcus Smart\smartma01,SG,.375,2.3,.476,.836,3.8,4.9,1.7,0.5,1.7,12.9
Dennis Smith Jr.\smithde03,PG,.341,0.5,.379,.509,2.3,2.9,0.8,0.2,1.7,5.5
Ish Smith\smithis01,PG,.447,0.9,.492,.721,3.2,4.9,0.9,0.4,1.4,10.9
J.R. Smith\smithjr01,SG,.318,0.2,.341,1.000,0.8,0.5,0.2,0.0,0.7,2.8
Zhaire Smith\smithzh01,SF,.273,0.0,.273,.500,0.3,0.3,0.4,0.0,0.3,1.1
Tony Snell\snellto01,SF,.445,1.7,.579,1.000,1.9,2.2,0.5,0.3,0.5,8.0
Omari Spellman\spellom01,C,.431,0.9,.503,.793,4.5,1.0,0.7,0.5,1.1,7.6
Max Strus\strusma01,SF,.667,0.0,.667,1.000,0.5,0.0,0.0,0.0,0.0,2.5
Edmond Sumner\sumneed01,SG,.430,0.5,.479,.552,1.5,1.8,0.5,0.3,0.7,4.9
Caleb Swanigan\swanica01,PF-C,.596,0.0,.596,.529,3.7,1.1,0.1,0.3,1.4,2.4
Jayson Tatum\tatumja01,PF,.450,2.9,.527,.812,7.0,3.0,1.4,0.9,2.3,23.4
Jeff Teague\teaguje01,PG,.436,0.7,.480,.873,2.4,5.2,0.7,0.3,2.0,10.9
Garrett Temple\templga01,SG,.378,2.0,.486,.805,3.5,2.5,0.8,0.5,1.0,10.3
Daniel Theis\theisda01,C,.566,0.5,.603,.763,6.6,1.7,0.6,1.3,0.8,9.2
Isaiah Thomas\thomais02,PG,.408,2.0,.500,.816,1.7,3.7,0.3,0.2,1.9,12.2
Khyri Thomas\thomakh01,SG,.294,0.6,.441,.500,0.1,0.4,0.4,0.0,0.4,2.1
Lance Thomas\thomala01,PF,.348,0.6,.435,1.000,1.9,0.9,0.0,0.0,0.9,3.4
Matt Thomas\thomama02,SG,.487,1.1,.643,.750,1.5,0.5,0.2,0.0,0.4,4.9
Tristan Thompson\thomptr01,PF,.512,0.2,.520,.615,10.1,2.1,0.6,0.9,1.8,12.0
Sindarius Thornwell\thornsi01,SF,.545,1.0,.636,.500,2.0,2.0,0.5,0.5,1.0,8.0
Matisse Thybulle\thybuma01,SG,.423,0.9,.528,.610,1.6,1.2,1.4,0.7,0.8,4.7
Anthony Tolliver\tollian01,PF,.357,0.9,.492,.724,2.8,0.8,0.3,0.2,0.6,3.6
Juan Toscano-Anderson\toscaju01,SG,.460,0.6,.524,.600,4.0,2.0,1.0,0.4,1.2,5.3
Karl-Anthony Towns\townska01,C,.508,3.3,.600,.796,10.8,4.4,0.9,1.2,3.1,26.5
Gary Trent Jr.\trentga02,SF,.444,1.8,.571,.822,1.6,1.0,0.8,0.3,0.3,8.9
Allonzo Trier\trieral01,SG,.481,0.8,.571,.791,1.2,1.2,0.1,0.2,0.9,6.5
P.J. Tucker\tuckepj01,PF,.415,1.5,.541,.813,6.6,1.6,1.1,0.5,1.0,6.9
Rayjon Tucker\tuckera01,SG,.465,0.2,.500,.826,1.0,0.3,0.1,0.1,0.4,3.1
Evan Turner\turneev01,SG,.373,0.0,.373,.857,2.0,2.0,0.5,0.4,1.4,3.3
Myles Turner\turnemy01,C,.457,1.4,.530,.751,6.6,1.2,0.7,2.1,1.4,12.1
Jarrod Uthoff\uthofja01,PF,.389,0.4,.472,1.000,0.9,0.0,0.1,0.0,0.0,2.7
Jonas Valančiūnas\valanjo01,C,.585,0.5,.606,.740,11.3,1.9,0.4,1.1,1.8,14.9
Denzel Valentine\valende01,SF,.409,1.3,.506,.750,2.1,1.2,0.7,0.2,0.7,6.8
Jarred Vanderbilt\vandeja01,PF,.625,0.0,.625,1.000,0.8,0.2,0.3,0.1,0.6,1.1
Fred VanVleet\vanvlfr01,SG,.413,2.7,.507,.848,3.8,6.6,1.9,0.3,2.2,17.6
Gabe Vincent\vincega01,PG,.216,0.7,.297,,0.6,0.7,0.6,0.0,0.1,2.4
Noah Vonleh\vonleno01,C,.565,0.1,.582,.781,3.4,0.8,0.3,0.2,0.6,3.7
Nikola Vučević\vucevni01,C,.477,1.6,.525,.784,10.9,3.6,0.9,0.8,1.4,19.6
Dean Wade\wadede01,PF,.692,0.2,.769,.000,1.6,0.2,0.2,0.3,0.3,1.7
Moritz Wagner\wagnemo01,C,.545,0.6,.592,.821,4.9,1.2,0.6,0.4,1.5,8.7
Dion Waiters\waitedi01,SG,.414,1.5,.490,.824,2.4,2.0,0.4,0.6,1.6,11.1
Kemba Walker\walkeke02,PG,.425,3.2,.526,.864,3.9,4.8,0.9,0.5,2.1,20.4
Lonnie Walker\walkelo01,SG,.426,0.7,.483,.721,2.3,1.1,0.5,0.2,0.7,6.4
Tyrone Wallace\wallaty01,SG,.318,0.1,.330,.647,1.6,0.9,0.5,0.1,0.7,2.9
Derrick Walton\waltode01,PG,.462,0.4,.590,.778,0.6,1.0,0.3,0.0,0.2,2.0
Brad Wanamaker\wanambr01,PG,.448,0.5,.499,.926,2.0,2.5,0.9,0.2,1.1,6.9
T.J. Warren\warretj01,SF,.536,1.4,.581,.819,4.2,1.5,1.2,0.5,1.3,19.8
P.J. Washington\washipj01,PF,.455,1.5,.528,.647,5.4,2.1,0.9,0.8,1.6,12.2
Yuta Watanabe\watanyu01,SF,.441,0.2,.485,.375,1.1,0.3,0.3,0.1,0.1,2.0
Tremont Waters\watertr01,PG,.286,0.4,.327,1.000,1.1,1.5,0.9,0.2,1.4,3.6
Paul Watson\watsopa01,SF,.385,0.4,.462,.778,1.7,0.8,0.4,0.1,0.3,3.1
Quinndary Weatherspoon\weathqu01,SG,.294,0.1,.324,.500,0.6,1.0,0.3,0.1,0.5,1.1
Russell Westbrook\westbru01,PG,.472,1.0,.493,.763,7.9,7.0,1.6,0.4,4.5,27.2
Coby White\whiteco01,PG,.394,2.0,.478,.791,3.5,2.7,0.8,0.1,1.7,13.2
Derrick White\whitede01,SG,.458,1.2,.530,.853,3.3,3.5,0.6,0.9,1.3,11.3
Hassan Whiteside\whiteha01,C,.621,0.1,.624,.686,13.5,1.2,0.4,2.9,1.8,15.5
Andrew Wiggins\wiggian01,SF,.447,2.1,.504,.709,5.1,3.7,0.8,1.0,2.4,21.8
Grant Williams\willigr01,PF,.412,0.3,.469,.722,2.6,1.0,0.4,0.5,0.7,3.4
