Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Wesley Iwundu\iwundwe01,SF,41,.333,0.1,.358,.839,2.2,0.4,0.4,0.1,0.5,2.4
Frank Jackson\jacksfr01,PG,40,.457,1.5,.561,.813,2.2,0.9,0.4,0.0,0.9,9.8
Jaren Jackson Jr.\jacksja02,C,11,.424,1.5,.492,.833,5.6,1.1,1.1,1.6,1.4,14.4
Josh Jackson\jacksjo02,SG,62,.419,1.2,.473,.729,4.1,2.3,0.9,0.8,2.3,13.4
Justin Jackson\jacksju01,SF,34,.403,1.1,.484,.838,2.3,1.5,0.4,0.1,0.9,7.2
Reggie Jackson\jacksre01,SG,67,.450,1.8,.554,.817,2.9,3.1,0.6,0.1,1.1,10.7
Justin James\jamesju01,SF,36,.468,0.4,.532,.583,0.8,0.6,0.2,0.1,0.4,3.9
LeBron James\jamesle01,PG,45,.513,2.3,.576,.698,7.7,7.8,1.1,0.6,3.7,25.0
Mike James\jamesmi02,PG,13,.370,0.8,.429,.778,2.5,4.2,0.5,0.1,1.5,7.7
DaQuan Jeffries\jeffrda01,SG,31,.417,0.6,.500,.875,2.3,0.7,0.5,0.3,0.5,4.1
Ty Jerome\jeromty01,SG,33,.446,2.2,.570,.765,2.8,3.6,0.6,0.2,1.4,10.7
Isaiah Joe\joeis01,SG,41,.361,1.0,.508,.750,0.9,0.5,0.3,0.1,0.3,3.7
Alize Johnson\johnsal02,PF,18,.588,0.1,.596,1.000,5.0,0.8,0.3,0.3,0.5,5.2
Cameron Johnson\johnsca02,PF,60,.420,2.0,.541,.847,3.3,1.4,0.6,0.3,0.7,9.6
James Johnson\johnsja01,PF,51,.446,0.6,.494,.592,3.5,1.9,0.8,0.8,1.1,7.2
Keldon Johnson\johnske04,SF,69,.479,0.9,.522,.740,6.0,1.8,0.6,0.3,1.1,12.8
Stanley Johnson\johnsst04,PF,61,.382,0.7,.479,.800,2.5,1.5,0.9,0.3,0.9,4.4
Tyler Johnson\johnsty01,SG,39,.393,1.2,.525,.857,2.0,1.2,0.4,0.0,0.4,5.4
Nikola Jokić\jokicni01,C,72,.566,1.3,.602,.868,10.8,8.3,1.3,0.7,3.1,26.4
Damian Jones\jonesda03,C,39,.680,0.0,.684,.724,3.1,0.7,0.3,0.7,0.7,4.7
Derrick Jones Jr.\jonesde02,SF,58,.484,0.7,.554,.648,3.5,0.8,0.6,0.9,0.6,6.8
Mason Jones\jonesma05,SG,32,.423,0.8,.520,.625,1.7,1.3,0.2,0.0,0.9,5.3
Tre Jones\jonestr01,PG,37,.474,0.1,.494,.895,0.6,1.1,0.2,0.0,0.4,2.5
Tyus Jones\jonesty01,PG,70,.431,0.6,.485,.911,2.0,3.7,0.9,0.1,0.7,6.3
DeAndre Jordan\jordade01,C,57,.763,0.0,.763,.500,7.5,1.6,0.3,1.1,1.5,7.5
Cory Joseph\josepco01,PG,63,.469,0.7,.522,.818,2.5,3.4,1.0,0.3,1.3,8.2
Mfiondu Kabengele\kabenmf01,PF,39,.371,0.3,.444,.800,1.5,0.4,0.2,0.3,0.4,2.4
Frank Kaminsky\kaminfr01,C,47,.471,0.7,.531,.617,4.0,1.7,0.3,0.4,0.5,6.6
Enes Kanter\kanteen01,C,72,.604,0.0,.605,.774,11.0,1.2,0.5,0.7,1.1,11.2
Luke Kennard\kennalu01,SG,63,.476,1.6,.597,.839,2.6,1.7,0.4,0.1,0.8,8.3
Louis King\kinglo02,SF,6,.500,0.7,.559,1.000,3.0,1.5,1.2,0.5,0.7,7.3
Maxi Kleber\klebima01,PF,50,.422,1.7,.580,.919,5.2,1.4,0.5,0.7,0.6,7.1
Nathan Knight\knighna01,PF,33,.370,0.2,.400,.800,2.2,0.2,0.3,0.3,0.5,3.8
Kevin Knox\knoxke01,SF,42,.392,0.8,.514,.800,1.5,0.5,0.3,0.1,0.4,3.9
John Konchar\konchjo01,SG,43,.500,0.5,.576,.833,3.0,1.1,0.7,0.2,0.4,4.3
Furkan Korkmaz\korkmfu01,SG,55,.401,1.8,.520,.732,2.1,1.5,0.9,0.2,0.8,9.1
Luke Kornet\kornelu01,C-PF,31,.436,0.5,.510,.500,2.2,0.8,0.1,1.0,0.2,3.4
Rodions Kurucs\kurucro01,SF-PF,21,.344,0.3,.438,.750,1.1,0.5,0.4,0.2,0.6,1.5
Kyle Kuzma\kuzmaky01,SF,68,.443,2.0,.533,.691,6.1,1.9,0.5,0.6,1.7,12.9
Anthony Lamb\lamban01,SF,24,.390,1.0,.487,.857,2.9,1.0,0.3,0.2,0.8,5.5
Jeremy Lamb\lambje01,SG,36,.435,1.4,.529,.947,3.6,1.5,0.9,0.6,0.6,10.1
Romeo Langford\langfro01,SG,18,.356,0.3,.398,.750,1.9,0.7,0.3,0.3,0.6,3.1
Zach LaVine\lavinza01,SG,58,.507,3.4,.596,.849,5.0,4.9,0.8,0.5,3.5,27.4
Jake Layman\laymaja01,SF,45,.495,0.5,.557,.703,1.5,0.6,0.6,0.4,0.6,5.1
T.J. Leaf\leaftj01,PF,7,.500,0.0,.500,1.000,0.7,0.1,0.3,0.1,0.3,1.7
Jalen Lecque\lecquja01,PG,4,.111,0.0,.111,1.000,1.3,0.5,0.0,0.0,0.0,1.3
Damion Lee\leeda03,SG,57,.467,1.4,.608,.909,3.2,1.3,0.7,0.1,0.5,6.5
Saben Lee\leesa01,PG,48,.471,0.2,.490,.685,2.0,3.6,0.7,0.3,1.1,5.6
Alex Len\lenal01,C,64,.615,0.1,.629,.629,4.1,0.8,0.3,1.0,0.9,6.6
Kawhi Leonard\leonaka01,SF,52,.512,1.9,.568,.885,6.5,5.2,1.6,0.4,2.0,24.8
Meyers Leonard\leoname01,C,3,.429,1.0,.643,.500,2.3,0.7,0.0,0.0,0.7,3.3
Caris LeVert\leverca01,SG,47,.441,1.8,.493,.811,4.6,5.2,1.4,0.6,2.2,20.2
Kira Lewis Jr.\lewiski01,PG,54,.386,0.7,.445,.843,1.3,2.3,0.7,0.2,0.6,6.4
Damian Lillard\lillada01,PG,67,.451,4.1,.554,.928,4.2,7.5,0.9,0.3,3.0,28.8
Nassir Little\littlna01,PF,48,.467,0.6,.551,.800,2.7,0.5,0.1,0.3,0.4,4.6
Kevon Looney\looneke01,C,61,.548,0.1,.558,.646,5.3,2.0,0.3,0.4,0.6,4.1
Brook Lopez\lopezbr01,C,70,.503,1.4,.577,.845,5.0,0.7,0.6,1.5,0.9,12.3
Robin Lopez\lopezro01,C,71,.633,0.1,.639,.723,3.8,0.8,0.2,0.6,1.1,9.0
Didi Louzada\louzama01,SF,3,.231,0.7,.308,,1.0,1.0,0.7,0.0,1.0,2.7
Kevin Love\loveke01,PF,25,.409,2.3,.522,.824,7.4,2.5,0.6,0.1,1.5,12.2
Kyle Lowry\lowryky01,PG,46,.436,2.8,.546,.875,5.4,7.3,1.0,0.3,2.7,17.2
Timothé Luwawu-Cabarrot\luwawti01,SF,58,.365,1.3,.471,.814,2.2,1.2,0.6,0.1,0.7,6.4
Trey Lyles\lylestr01,PF,23,.478,0.6,.556,.652,3.7,0.6,0.3,0.0,0.3,5.0
Will Magnay\magnawi01,C,1,.000,0.0,.000,,0.0,0.0,0.0,0.0,1.0,0.0
Thon Maker\makerth01,C,8,.556,0.0,.556,.909,2.3,0.5,0.3,0.5,0.4,3.8
Théo Maledon\maledth01,PG,65,.368,1.6,.454,.748,3.2,3.5,0.9,0.2,2.2,10.1
Karim Mané\maneka01,PG,10,.231,0.1,.269,.800,1.4,0.4,0.0,0.2,0.3,1.1
Terance Mann\mannte01,SG,67,.509,0.6,.563,.830,3.6,1.6,0.4,0.2,0.6,7.0
Nico Mannion\mannini01,PG,30,.342,0.7,.439,.821,1.5,2.3,0.5,0.0,1.0,4.1
Boban Marjanović\marjabo01,C,33,.508,0.0,.512,.816,3.9,0.3,0.1,0.2,0.4,4.7
Lauri Markkanen\markkla01,PF,51,.480,2.3,.594,.826,5.3,0.9,0.5,0.3,1.0,13.6
Naji Marshall\marshna01,SF,32,.392,0.9,.462,.707,4.6,2.8,0.8,0.3,1.2,7.7
Caleb Martin\martica02,SF,53,.375,0.6,.436,.641,2.7,1.3,0.7,0.2,0.6,5.0
Cody Martin\martico01,SF,52,.441,0.3,.484,.581,3.1,1.7,0.7,0.2,0.8,4.0
Jeremiah Martin\martije02,PG,9,.273,0.3,.318,.200,0.8,0.4,0.6,0.2,0.7,2.4
Kelan Martin\martike03,SF,35,.449,0.7,.536,.900,2.2,0.5,0.3,0.3,0.5,4.5
Kenyon Martin Jr.\martike04,SF,45,.509,0.8,.564,.714,5.4,1.1,0.7,0.9,0.8,9.3
Frank Mason III\masonfr01,PG,4,.375,0.5,.417,.714,3.0,3.0,0.0,0.0,1.3,6.3
Garrison Mathews\mathega01,SG,64,.409,1.2,.570,.884,1.4,0.4,0.5,0.1,0.2,5.5
Dakota Mathias\mathida01,SG,8,.396,1.0,.479,.333,0.9,1.6,0.1,0.4,0.1,6.0
Wesley Matthews\matthwe02,SG,58,.353,1.1,.484,.854,1.6,0.9,0.7,0.3,0.4,4.8
Tyrese Maxey\maxeyty01,SG,61,.462,0.5,.498,.871,1.7,2.0,0.4,0.2,0.7,8.0
Skylar Mays\mayssk01,SG,33,.449,0.4,.520,.880,1.1,0.9,0.4,0.1,0.3,3.8
Patrick McCaw\mccawpa01,SF,5,1.000,0.0,1.000,1.000,0.6,0.8,0.4,0.0,0.0,1.0
CJ McCollum\mccolcj01,SG,47,.458,3.6,.554,.812,3.9,4.7,0.9,0.4,1.4,23.1
T.J. McConnell\mccontj01,PG,69,.559,0.2,.574,.688,3.7,6.6,1.9,0.3,2.0,8.6
Jaden McDaniels\mcdanja02,PF,63,.447,1.1,.545,.600,3.7,1.1,0.6,1.0,0.7,6.8
Jalen McDaniels\mcdanja01,SF,47,.468,0.7,.530,.703,3.6,1.1,0.6,0.4,1.0,7.4
Doug McDermott\mcderdo01,PF,66,.532,1.7,.616,.816,3.3,1.3,0.3,0.1,0.8,13.6
Sean McDermott\mcderse01,SF,18,.394,0.3,.470,1.000,1.1,0.2,0.1,0.2,0.2,2.2
JaVale McGee\mcgeeja01,C,46,.511,0.1,.520,.657,5.2,0.8,0.4,1.2,1.3,7.3
Rodney McGruder\mcgruro01,SG,16,.529,0.7,.607,.750,1.4,1.0,0.5,0.1,0.4,5.7
Alfonzo McKinnie\mckinal01,SF,39,.516,0.4,.602,.556,1.4,0.2,0.2,0.0,0.1,3.1
Jordan McLaughlin\mclaujo01,PG,51,.413,0.6,.481,.767,2.1,3.8,1.0,0.1,1.0,5.0
Ben McLemore\mclembe01,SG,53,.370,1.8,.503,.736,1.9,0.7,0.4,0.2,0.8,7.7
Nicolò Melli\mellini01,PF,45,.326,0.5,.408,.760,2.7,1.0,0.3,0.1,0.3,3.0
De'Anthony Melton\meltode01,PG,52,.438,1.7,.548,.804,3.1,2.5,1.2,0.6,1.3,9.1
Sam Merrill\merrisa01,SG,30,.444,0.7,.590,1.000,1.0,0.7,0.3,0.0,0.3,3.0
Chimezie Metu\metuch01,C,36,.508,0.4,.545,.721,3.1,0.8,0.4,0.5,0.8,6.3
Khris Middleton\middlkh01,SF,68,.476,2.2,.546,.898,6.0,5.4,1.1,0.1,2.6,20.4
Darius Miller\milleda01,SF,18,.458,0.9,.635,1.000,1.3,1.2,0.7,0.3,0.4,4.1
Patty Mills\millspa02,PG,68,.412,2.4,.544,.910,1.7,2.4,0.6,0.0,1.0,10.8
Paul Millsap\millspa01,PF,56,.476,0.9,.537,.724,4.7,1.8,0.9,0.6,0.9,9.0
Shake Milton\miltosh01,SG,63,.450,1.1,.503,.830,2.3,3.1,0.6,0.3,1.6,13.0
Donovan Mitchell\mitchdo01,PG,53,.438,3.4,.520,.845,4.4,5.2,1.0,0.3,2.8,26.4
Adam Mokoka\mokokad01,SG,14,.368,0.1,.395,.000,0.4,0.4,0.1,0.1,0.4,1.1
Malik Monk\monkma01,SG,42,.434,2.0,.540,.819,2.4,2.1,0.5,0.1,1.3,11.7
E'Twaun Moore\mooreet01,SG,27,.455,0.4,.500,.857,1.7,1.5,0.6,0.2,0.9,4.9
Ja Morant\moranja01,PG,63,.449,1.2,.487,.728,4.0,7.4,0.9,0.2,3.2,19.1
Juwan Morgan\morgaju01,PF,29,.467,0.1,.533,.429,1.0,0.3,0.1,0.0,0.1,1.2
Marcus Morris\morrima03,PF,57,.473,2.5,.592,.820,4.1,1.0,0.6,0.3,1.0,13.4
Markieff Morris\morrima02,PF,61,.405,1.1,.491,.720,4.4,1.2,0.4,0.3,0.9,6.7
Monte Morris\morrimo01,PG,47,.481,1.1,.547,.795,2.0,3.2,0.7,0.3,0.7,10.2
Mychal Mulder\muldemy01,PG,60,.449,1.4,.609,.636,1.0,0.4,0.2,0.2,0.3,5.6
Dejounte Murray\murrade01,PG,67,.453,0.9,.485,.791,7.1,5.4,1.5,0.1,1.7,15.7
Jamal Murray\murraja01,PG,48,.477,2.7,.559,.869,4.0,4.8,1.3,0.3,2.3,21.2
Mike Muscala\muscami01,C,35,.446,1.9,.573,.917,3.8,0.8,0.2,0.3,0.6,9.7
Sviatoslav Mykhailiuk\mykhasv01,SF-SG,66,.411,1.6,.515,.760,2.5,1.7,0.8,0.2,1.3,8.5
Abdel Nader\naderab01,SF,24,.491,0.8,.569,.757,2.6,0.8,0.4,0.4,0.8,6.7
Larry Nance Jr.\nancela02,PF,35,.471,1.2,.546,.612,6.7,3.1,1.7,0.5,1.6,9.3
Aaron Nesmith\nesmiaa01,SF,46,.438,0.9,.551,.786,2.8,0.5,0.3,0.2,0.5,4.7
Raul Neto\netora01,PG,64,.468,1.0,.539,.882,2.4,2.3,1.1,0.1,0.8,8.7
Georges Niang\niangge01,PF,72,.437,1.7,.590,.957,2.4,0.8,0.3,0.1,0.7,6.9
Zeke Nnaji\nnajize01,PF,42,.481,0.6,.596,.800,1.5,0.2,0.2,0.1,0.2,3.2
Nerlens Noel\noelne01,C,64,.614,0.0,.614,.714,6.4,0.7,1.1,2.2,1.0,5.1
Jaylen Nowell\nowelja01,SG,42,.424,1.2,.499,.818,2.3,1.5,0.5,0.3,0.7,9.0
Frank Ntilikina\ntilila01,PG,33,.367,0.7,.513,.444,0.9,0.6,0.5,0.1,0.3,2.7
Kendrick Nunn\nunnke01,PG,56,.485,2.2,.578,.933,3.2,2.6,0.9,0.3,1.4,14.6
James Nunnally\nunnaja01,SF,9,.385,0.4,.538,.500,1.0,0.3,0.0,0.0,0.2,1.7
Jusuf Nurkić\nurkiju01,C,37,.514,0.3,.532,.619,9.0,3.4,1.0,1.1,2.0,11.5
David Nwaba\nwabada01,SF,30,.486,0.6,.525,.691,3.9,1.0,1.0,0.7,0.6,9.2
Jordan Nwora\nworajo01,SF,30,.459,0.9,.563,.760,2.0,0.2,0.5,0.2,0.8,5.7
Royce O'Neale\onealro01,SF,71,.444,1.5,.580,.848,6.8,2.5,0.8,0.5,1.2,7.0
Semi Ojeleye\ojelese01,PF,56,.403,1.0,.534,.750,2.6,0.7,0.3,0.0,0.4,4.6
Jahlil Okafor\okafoja01,C,27,.618,0.1,.627,.708,2.4,0.5,0.2,0.2,0.8,5.4
Chuma Okeke\okekech01,PF,45,.417,1.1,.492,.750,4.0,2.2,1.1,0.5,0.8,7.8
Josh Okogie\okogijo01,SG,59,.402,0.5,.459,.769,2.6,1.1,0.9,0.5,0.7,5.4
Onyeka Okongwu\okongon01,C,50,.644,0.0,.644,.632,3.3,0.4,0.5,0.7,0.6,4.6
Isaac Okoro\okorois01,SG,67,.420,0.9,.476,.726,3.1,1.9,0.9,0.4,1.3,9.6
KZ Okpala\okpalkz01,PF,37,.375,0.3,.438,.533,1.8,0.5,0.3,0.3,0.4,2.5
Victor Oladipo\oladivi01,SG,33,.408,2.4,.476,.754,4.8,4.6,1.4,0.4,2.5,19.8
Cameron Oliver\oliveca01,SF,4,.576,1.0,.636,.250,5.3,1.3,0.5,1.0,0.8,10.8
Kelly Olynyk\olynyke01,C-PF,70,.484,1.8,.574,.829,7.0,2.9,1.1,0.6,1.8,13.5
Miye Oni\onimi01,SG,54,.354,0.6,.505,.833,1.6,0.5,0.2,0.1,0.3,1.9
Cedi Osman\osmande01,SF,59,.374,1.7,.458,.800,3.4,2.9,0.9,0.2,1.4,10.4
Daniel Oturu\oturuda01,C,30,.423,0.0,.433,.750,1.6,0.3,0.1,0.2,0.3,1.8
Kelly Oubre Jr.\oubreke01,SF,55,.439,1.6,.501,.695,6.0,1.3,1.0,0.8,1.3,15.4
Jabari Parker\parkeja01,PF,13,.545,0.2,.564,.769,3.2,0.8,0.1,0.4,0.8,5.5
Eric Paschall\pascher01,PF,40,.497,0.5,.527,.713,3.2,1.3,0.3,0.2,1.1,9.5
Anžejs Pasečņiks\pasecan01,C,1,.000,0.0,.000,,1.0,1.0,0.0,0.0,5.0,0.0
Patrick Patterson\pattepa01,PF,38,.436,1.1,.558,.765,2.0,0.8,0.4,0.2,0.3,5.2
Justin Patton\pattoju01,C,13,.414,0.7,.479,.750,3.8,1.1,0.9,1.1,0.3,5.4
Chris Paul\paulch01,PG,70,.499,1.5,.557,.934,4.5,8.9,1.4,0.3,2.2,16.4
Cameron Payne\payneca01,PG,60,.484,1.2,.576,.893,2.4,3.6,0.6,0.3,1.0,8.4
Elfrid Payton\paytoel01,PG,63,.432,0.4,.455,.682,3.4,3.2,0.7,0.1,1.6,10.1
Gary Payton II\paytoga02,PG,10,.769,0.2,.846,.750,1.1,0.1,0.6,0.1,0.1,2.5
Norvel Pelle\pelleno01,C,13,.533,0.0,.533,.667,1.5,0.2,0.1,0.7,0.2,1.5
Reggie Perry\perryre01,PF,26,.410,0.2,.436,.769,2.8,0.5,0.2,0.2,0.6,3.0
Theo Pinson\pinsoth01,SG,17,.111,0.0,.111,,0.3,0.1,0.0,0.0,0.1,0.1
Mason Plumlee\plumlma01,C,56,.614,0.0,.614,.669,9.3,3.6,0.8,0.9,1.9,10.4
Jakob Poeltl\poeltja01,C,69,.616,0.0,.616,.508,7.9,1.9,0.7,1.8,1.2,8.6
Vincent Poirier\poirivi01,C,10,.250,0.0,.250,.333,1.4,0.2,0.0,0.3,0.4,0.8
Aleksej Pokusevski\pokusal01,PF,45,.341,1.3,.412,.738,4.7,2.2,0.4,0.9,2.2,8.2
Jordan Poole\poolejo01,SG,51,.432,1.9,.535,.882,1.8,1.9,0.5,0.2,1.0,12.0
Jontay Porter\portejo01,PF,11,.533,0.3,.633,.600,1.3,0.1,0.3,0.1,0.6,2.0
Kevin Porter Jr.\porteke02,SG,26,.425,1.9,.493,.734,3.8,6.3,0.7,0.3,3.5,16.6
Michael Porter Jr.\portemi01,SF,61,.542,2.8,.646,.791,7.3,1.1,0.7,0.9,1.3,19.0
Otto Porter\porteot01,SF-PF,28,.432,1.4,.518,.857,5.4,2.0,0.6,0.1,0.9,9.7
Bobby Portis\portibo01,C,66,.523,1.1,.585,.740,7.1,1.1,0.8,0.4,0.8,11.4
Kristaps Porziņģis\porzikr01,C,43,.476,2.3,.547,.855,8.9,1.6,0.5,1.3,1.2,20.1
Dwight Powell\poweldw01,C,58,.619,0.1,.631,.782,4.0,1.1,0.6,0.5,0.7,5.9
Norman Powell\powelno01,SG-SF,69,.477,2.5,.570,.871,3.1,1.9,1.2,0.3,1.7,18.6
Taurean Prince\princta02,PF,41,.401,1.5,.495,.855,3.5,1.9,0.7,0.6,1.1,9.5
Payton Pritchard\pritcpa01,SG,66,.440,1.5,.562,.889,2.4,1.8,0.6,0.1,0.8,7.7
Immanuel Quickley\quickim01,PG,64,.395,1.8,.497,.891,2.1,2.0,0.5,0.2,0.9,11.4
Jahmi'us Ramsey\ramseja01,SG,13,.395,0.4,.461,1.000,0.8,0.5,0.3,0.1,0.2,3.1
Chasson Randle\randlch01,PG,41,.388,1.1,.481,.792,2.0,1.8,0.5,0.1,1.1,6.5
Julius Randle\randlju01,PF,71,.456,2.3,.516,.811,10.2,6.0,0.9,0.3,3.4,24.1
Cam Reddish\reddica01,SF,26,.365,1.3,.428,.817,4.0,1.3,1.3,0.3,1.3,11.2
J.J. Redick\redicjj01,SG,44,.397,1.5,.521,.942,1.5,1.2,0.3,0.1,0.8,7.4
Paul Reed\reedpa01,PF,26,.538,0.0,.538,.500,2.3,0.5,0.4,0.5,0.5,3.4
Naz Reid\reidna01,C,70,.523,0.9,.576,.693,4.6,1.0,0.5,1.1,1.0,11.2
Cameron Reynolds\reynoca01,SF,5,.333,0.6,.417,,1.0,0.4,0.0,0.0,0.0,3.0
Nick Richards\richani01,PF,18,.444,0.0,.444,.636,0.6,0.1,0.0,0.0,0.2,0.8
Josh Richardson\richajo01,SG,59,.427,1.5,.498,.917,3.3,2.6,1.0,0.4,1.3,12.1
Grant Riller\rillegr01,PG,7,.667,0.3,.750,,0.1,0.4,0.1,0.0,0.1,2.6
Austin Rivers\riverau01,SG,36,.424,1.5,.537,.710,2.3,2.3,0.8,0.1,1.0,7.9
Andre Roberson\roberan03,SG,5,.143,0.2,.179,.500,3.0,0.8,0.6,0.2,0.4,1.2
Duncan Robinson\robindu01,SF,72,.439,3.5,.614,.827,3.5,1.8,0.6,0.3,1.1,13.1
Glenn Robinson III\robingl02,SF,23,.424,0.7,.505,.913,2.0,0.9,0.2,0.1,0.5,5.3
Jerome Robinson\robinje01,SG,17,.295,0.6,.353,.800,2.2,1.5,0.7,0.4,1.1,4.9
Justin Robinson\robinju01,PG,9,.333,0.4,.429,.600,0.8,1.0,0.3,0.0,0.2,2.3
Mitchell Robinson\robinmi01,C,31,.653,0.0,.653,.491,8.1,0.5,1.1,1.5,0.8,8.3
Isaiah Roby\robyis01,PF,61,.483,0.5,.520,.744,5.6,1.8,0.9,0.6,1.9,8.7
Rajon Rondo\rondora01,PG,45,.442,0.8,.526,.941,2.4,4.4,0.8,0.1,1.8,5.4
Derrick Rose\rosede01,PG,50,.470,1.0,.511,.866,2.6,4.2,1.0,0.4,1.6,14.7
Terrence Ross\rosste01,SG,46,.412,1.9,.485,.870,3.4,2.3,1.0,0.5,1.6,15.6
Terry Rozier\roziete01,SG,69,.450,3.2,.548,.817,4.4,4.2,1.3,0.4,1.9,20.4
Ricky Rubio\rubiori01,PG,68,.388,1.0,.454,.867,3.3,6.4,1.4,0.1,1.6,8.6
D'Angelo Russell\russeda01,PG,42,.431,2.9,.523,.765,2.6,5.8,1.1,0.4,2.7,19.0
Domantas Sabonis\sabondo01,PF,62,.535,0.8,.564,.732,12.0,6.7,1.2,0.5,3.4,20.3
Luka Šamanić\samanlu01,PF,33,.448,0.4,.505,.552,2.1,0.5,0.2,0.2,0.6,3.7
JaKarr Sampson\sampsja02,PF,29,.496,0.1,.509,.655,2.7,0.1,0.1,0.5,0.5,4.6
Dario Šarić\saricda01,C,50,.447,0.9,.516,.848,3.8,1.3,0.6,0.1,1.1,8.7
Tomáš Satoranský\satorto01,SG,58,.514,0.7,.578,.848,2.4,4.7,0.7,0.2,1.7,7.7
Dennis Schröder\schrode01,SG,61,.437,1.2,.484,.848,3.5,5.8,1.1,0.2,2.7,15.4
Mike Scott\scottmi01,PF,51,.360,1.0,.486,.667,2.4,0.8,0.5,0.3,0.4,4.2
Jay Scrubb\scrubja01,SG,4,.389,0.5,.417,1.000,3.5,0.3,1.0,0.0,1.8,8.8
Collin Sexton\sextoco01,SG,60,.475,1.6,.519,.815,3.1,4.4,1.0,0.2,2.8,24.3
Landry Shamet\shamela01,SG,61,.408,2.1,.549,.846,1.8,1.6,0.5,0.2,0.8,9.3
Iman Shumpert\shumpim01,SG,2,.250,0.0,.250,,0.5,0.0,0.5,0.0,0.5,1.0
Pascal Siakam\siakapa01,PF,56,.455,1.3,.493,.827,7.2,4.5,1.1,0.7,2.3,21.4
Chris Silva\silvach01,PF,15,.625,0.1,.656,.733,1.8,0.4,0.1,0.4,0.7,2.1
Ben Simmons\simmobe01,PG,58,.557,0.1,.560,.613,7.2,6.9,1.6,0.6,3.0,14.3
Anfernee Simons\simonan01,SG,64,.419,1.9,.569,.807,2.2,1.4,0.3,0.1,0.7,7.8
Deividas Sirvydis\sirvyde01,SG,20,.350,0.5,.475,.500,1.5,0.3,0.1,0.0,0.3,2.1
Alen Smailagić\smailal01,PF,15,.407,0.3,.481,.333,1.1,0.3,0.2,0.3,0.3,1.9
Marcus Smart\smartma01,PG,48,.398,1.9,.489,.790,3.5,5.7,1.5,0.5,2.0,13.1
Dennis Smith Jr.\smithde03,PG,23,.400,0.8,.466,.731,2.4,3.3,1.0,0.6,1.1,6.7
Ish Smith\smithis01,PG,44,.434,0.4,.465,.576,3.4,3.9,0.7,0.3,0.9,6.7
Jalen Smith\smithja04,PF,27,.440,0.1,.480,.714,1.4,0.1,0.0,0.2,0.3,2.0
Tony Snell\snellto01,SG,47,.515,1.3,.696,1.000,2.4,1.3,0.3,0.2,0.4,5.3
Ray Spalding\spaldra01,C,2,.500,0.0,.500,.000,2.0,0.0,0.0,1.0,1.5,2.0
Cassius Stanley\stanlca01,SG,24,.302,0.1,.337,.778,0.8,0.0,0.0,0.1,0.0,1.5
Lamar Stevens\stevela01,PF,40,.456,0.1,.471,.725,2.4,0.6,0.4,0.3,0.6,4.1
Isaiah Stewart\stewais01,C,68,.553,0.3,.578,.696,6.7,0.9,0.6,1.3,1.0,7.9
Max Strus\strusma01,SF,39,.455,1.3,.588,.667,1.1,0.6,0.3,0.1,0.2,6.1
Edmond Sumner\sumneed01,SG,53,.525,0.7,.587,.819,1.8,0.9,0.6,0.2,1.0,7.5
Jae'Sean Tate\tateja01,SF,70,.506,0.9,.554,.694,5.3,2.5,1.2,0.5,1.4,11.3
Jayson Tatum\tatumja01,SF,64,.459,2.9,.530,.868,7.4,4.3,1.2,0.5,2.7,26.4
Jeff Teague\teaguje01,PG,55,.433,0.7,.496,.848,1.6,2.4,0.6,0.2,1.2,6.7
Garrett Temple\templga01,SG,56,.415,1.2,.503,.800,2.9,2.2,0.8,0.5,1.0,7.6
Tyrell Terry\terryty01,PG,11,.313,0.0,.313,.333,0.5,0.5,0.5,0.0,0.2,1.0
Daniel Theis\theisda01,C,65,.541,0.8,.593,.673,5.5,1.7,0.6,0.9,1.0,9.6
Brodric Thomas\thomabr01,SG,32,.361,0.5,.435,.674,1.7,0.9,0.5,0.3,0.7,3.9
Isaiah Thomas\thomais02,PG,3,.333,1.0,.389,1.000,1.3,1.7,0.3,0.0,2.0,7.7
Khyri Thomas\thomakh01,SG,5,.485,1.8,.553,1.000,3.6,5.0,1.8,1.2,1.2,16.4
Matt Thomas\thomama02,SG,45,.394,0.6,.500,.857,1.0,0.4,0.1,0.0,0.3,3.1
Tristan Thompson\thomptr01,PF,54,.518,0.0,.518,.592,8.1,1.2,0.4,0.6,1.1,7.6
Sindarius Thornwell\thornsi01,SG,21,.326,0.3,.402,.500,0.9,1.0,0.6,0.1,0.3,2.0
Matisse Thybulle\thybuma01,SG,65,.420,0.7,.508,.444,1.9,1.0,1.6,1.1,0.5,3.9
Killian Tillie\tilliki02,C,18,.333,0.6,.421,.818,1.3,0.4,0.3,0.4,0.1,3.2
Xavier Tillman Sr.\tillmxa01,PF,59,.559,0.4,.595,.642,4.3,1.3,0.7,0.6,0.8,6.6
Anthony Tolliver\tollian01,PF,11,.235,0.4,.353,.833,0.9,0.2,0.3,0.2,0.3,1.5
Obi Toppin\toppiob01,PF,62,.498,0.4,.560,.731,2.2,0.5,0.3,0.2,0.4,4.1
Juan Toscano-Anderson\toscaju01,SG,53,.579,0.7,.667,.710,4.4,2.8,0.8,0.5,1.2,5.7
Axel Toupane\toupaax01,SF,8,.364,0.1,.409,.714,0.8,0.5,0.3,0.4,0.0,1.8
