Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Jordan Bone\bonejo01,PG,14,.426,0.7,.519,,1.7,1.3,0.1,0.0,0.2,4.0
Isaac Bonga\bongais01,SF,40,.370,0.3,.451,.625,1.7,0.6,0.3,0.2,0.6,2.0
Devin Booker\bookede01,SG,67,.484,1.9,.533,.867,4.2,4.3,0.8,0.2,3.1,25.6
Chris Boucher\bouchch01,C,60,.514,1.5,.595,.788,6.7,1.1,0.6,1.9,0.8,13.6
Brian Bowen\bowenbr02,SF,6,.250,0.0,.250,1.000,0.5,0.0,0.0,0.0,0.0,0.5
Avery Bradley\bradlav01,SG,27,.374,1.2,.471,.800,2.1,1.7,0.8,0.1,1.0,6.4
Tony Bradley\bradlto01,C,42,.665,0.0,.665,.691,5.7,0.9,0.4,0.7,0.8,7.1
Jarrell Brantley\brantja01,PF,28,.481,0.4,.596,1.000,1.0,0.5,0.3,0.1,0.3,2.3
Ignas Brazdeikis\brazdig01,SF,13,.422,0.8,.488,.714,3.5,1.3,0.3,0.2,0.9,7.0
Mikal Bridges\bridgmi01,SF,72,.543,1.9,.643,.840,4.3,2.1,1.1,0.9,0.8,13.5
Miles Bridges\bridgmi02,PF,66,.503,1.8,.596,.867,6.0,2.2,0.7,0.8,1.6,12.7
Amida Brimah\brimaam01,C,5,.625,0.0,.625,1.000,1.6,0.2,0.0,1.0,0.8,2.6
Oshae Brissett\brissos01,SF,21,.483,1.6,.593,.769,5.5,0.9,0.9,1.0,0.5,10.9
Malcolm Brogdon\brogdma01,PG,56,.453,2.6,.527,.864,5.3,5.9,0.9,0.3,2.1,21.2
Armoni Brooks\brookar01,SG,20,.406,3.0,.563,.583,3.4,1.5,0.6,0.3,1.1,11.2
Dillon Brooks\brookdi01,SF,67,.419,1.9,.481,.815,2.9,2.3,1.2,0.4,1.8,17.2
Bruce Brown\brownbr01,PG,65,.556,0.3,.576,.735,5.4,1.6,0.9,0.4,0.8,8.8
Charlie Brown\brownch02,SG,9,.302,0.6,.360,.900,1.9,1.0,0.4,0.2,0.7,4.4
Jaylen Brown\brownja02,SG,58,.484,2.8,.558,.764,6.0,3.4,1.2,0.6,2.7,24.7
Moses Brown\brownmo01,C,43,.545,0.0,.545,.619,8.9,0.2,0.7,1.1,1.0,8.6
Sterling Brown\brownst02,SG,51,.448,1.8,.584,.806,4.4,1.4,0.7,0.2,0.8,8.2
Troy Brown Jr.\browntr01,SF,34,.431,0.6,.507,.714,3.1,0.9,0.3,0.2,0.6,4.7
Jalen Brunson\brunsja01,PG,68,.523,1.2,.588,.795,3.4,3.5,0.5,0.0,1.2,12.6
