Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,isMVP
496,Chris Silva,PF,25,TOT,10,0,9.1,0.8,1.5,0.533,0,0,,0.8,1.5,0.533,0.533,1,1.2,0.833,1.3,2.3,3.6,0.7,0,0.1,0.8,2,2.6,2021-2022,0
496,Chris Silva,PF,25,MIN,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,2021-2022,0
496,Chris Silva,PF,25,MIA,9,0,9.8,0.9,1.7,0.533,0,0,,0.9,1.7,0.533,0.533,1.1,1.3,0.833,1.4,2.4,3.9,0.8,0,0.1,0.9,2.2,2.9,2021-2022,0
497,Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,0.267,0.1,0.6,0.2,0.3,1.1,0.3,0.3,0.9,1.2,0.727,0.6,0.6,1.1,0,0.1,0.1,0.2,0.7,1.9,2021-2022,0
498,Anfernee Simons,SG,22,POR,57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3,2021-2022,0
499,Jericho Sims,PF,23,NYK,29,0,9.7,0.6,0.9,0.692,0,0,,0.6,0.9,0.692,0.692,0.2,0.6,0.375,1.2,2,3.2,0.3,0.2,0.4,0.4,1.4,1.4,2021-2022,0
500,Deividas Sirvydis,SG,21,DET,3,0,9,0.3,3.3,0.1,0.3,2.3,0.143,0,1,0,0.15,0,0,,0,2,2,0.3,1,0.3,0,1.3,1,2021-2022,0
501,Javonte Smart,PG,22,TOT,15,1,10.9,0.7,3.1,0.239,0.3,1.3,0.211,0.5,1.8,0.259,0.283,0.3,0.4,0.833,0.3,1,1.3,0.9,0.3,0.1,0.6,0.7,2.1,2021-2022,0
501,Javonte Smart,PG,22,MIL,13,1,12.3,0.8,3.3,0.256,0.3,1.4,0.222,0.5,1.9,0.28,0.302,0.4,0.5,0.833,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,2.4,2021-2022,0
501,Javonte Smart,PG,22,MIA,2,0,2,0,1.5,0,0,0.5,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,2021-2022,0
502,Marcus Smart,PG,27,BOS,61,61,32.7,4.2,10,0.421,1.6,4.8,0.334,2.6,5.2,0.5,0.501,2.1,2.7,0.799,0.6,3.3,3.9,5.7,1.8,0.3,2.1,2.3,12.2,2021-2022,0
503,Dennis Smith Jr.,PG,24,POR,37,4,17.2,2.1,5.1,0.418,0.2,0.7,0.222,2,4.4,0.451,0.434,1.1,1.7,0.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6,2021-2022,0
504,Ish Smith,PG,33,TOT,53,1,16.2,2.5,6,0.418,0.4,0.9,0.388,2.2,5.1,0.424,0.448,0.3,0.5,0.625,0.4,1.7,2.1,3.3,0.6,0.3,1.1,1.2,5.7,2021-2022,0
504,Ish Smith,PG,33,CHO,37,1,13.8,2,5,0.395,0.3,0.7,0.4,1.7,4.3,0.394,0.422,0.3,0.5,0.632,0.3,1.2,1.5,2.6,0.5,0.3,1,0.9,4.5,2021-2022,0
504,Ish Smith,PG,33,WAS,16,0,21.6,3.8,8.3,0.451,0.6,1.5,0.375,3.2,6.8,0.468,0.485,0.2,0.3,0.6,0.6,2.7,3.3,4.9,0.9,0.4,1.3,2,8.3,2021-2022,0
505,Jalen Smith,PF,21,TOT,44,7,17.3,3.1,6.2,0.507,0.7,2.2,0.323,2.4,4,0.608,0.564,1.5,2,0.767,1.9,4,6,0.5,0.3,0.7,0.8,1.8,8.5,2021-2022,0
505,Jalen Smith,PF,21,PHO,29,4,13.2,2.2,4.7,0.46,0.3,1.3,0.231,1.9,3.4,0.551,0.493,1.4,1.8,0.769,1.9,2.9,4.8,0.2,0.2,0.6,0.8,1.8,6,2021-2022,0
505,Jalen Smith,PF,21,IND,15,3,25.2,5,9,0.556,1.5,3.8,0.386,3.5,5.2,0.679,0.637,1.7,2.3,0.765,2,6.3,8.3,1.1,0.4,0.9,0.9,1.9,13.2,2021-2022,0
506,Xavier Sneed,SF,24,TOT,4,0,4.8,0.3,0.8,0.333,0.3,0.8,0.333,0,0,,0.5,0,0,,0.3,0.5,0.8,0,0,0,0,0.5,0.8,2021-2022,0
506,Xavier Sneed,SF,24,MEM,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0.5,0.5,1,0,0,0,0,1,0,2021-2022,0
506,Xavier Sneed,SF,24,UTA,2,0,5.5,0.5,0.5,1,0.5,0.5,1,0,0,,1.5,0,0,,0,0.5,0.5,0,0,0,0,0,1.5,2021-2022,0
507,Tony Snell,SG,30,TOT,49,12,15.8,1.2,3.1,0.392,0.9,2.4,0.353,0.4,0.7,0.529,0.529,0.1,0.1,1,0.3,1.7,2,0.5,0.3,0.2,0.4,1.3,3.4,2021-2022,0
507,Tony Snell,SG,30,POR,38,10,14.4,0.9,2.6,0.371,0.6,2,0.32,0.3,0.6,0.545,0.495,0.1,0.1,1,0.3,1.6,1.9,0.5,0.2,0.2,0.3,1.2,2.6,2021-2022,0
507,Tony Snell,SG,30,NOP,11,2,20.9,2.2,5.1,0.429,1.6,4,0.409,0.5,1.1,0.5,0.589,0,0,,0.4,2.2,2.5,0.5,0.5,0.2,0.6,1.9,6,2021-2022,0
508,Jaden Springer,SG,19,PHI,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0.5,1,0,0,1,0.5,0,1,2021-2022,0
509,Cassius Stanley,SG,22,DET,9,1,17.2,2.1,5.1,0.413,0.4,1.9,0.235,1.7,3.2,0.517,0.457,1.1,1.1,1,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8,2021-2022,0
510,Nik Stauskas,SG,28,TOT,6,0,5.2,0.7,1.7,0.4,0.5,1,0.5,0.2,0.7,0.25,0.55,0.7,1,0.667,0.2,0.3,0.5,0.2,0,0,0,0.2,2.5,2021-2022,0
510,Nik Stauskas,SG,28,MIA,2,0,12,1.5,4,0.375,1,2,0.5,0.5,2,0.25,0.5,1.5,2,0.75,0.5,1,1.5,0.5,0,0,0,0.5,5.5,2021-2022,0
510,Nik Stauskas,SG,28,BOS,4,0,1.8,0.3,0.5,0.5,0.3,0.5,0.5,0,0,,0.75,0.3,0.5,0.5,0,0,0,0,0,0,0,0,1,2021-2022,0
511,Lance Stephenson,SG-SF,31,TOT,35,1,17.8,3.1,7,0.447,0.5,2,0.246,2.7,5.1,0.525,0.482,1.2,1.6,0.75,0.3,2.5,2.9,3.5,0.5,0.1,1.5,2.1,8,2021-2022,0
511,Lance Stephenson,SF,31,ATL,6,0,11.7,0.8,2.2,0.385,0,0.5,0,0.8,1.7,0.5,0.385,0.2,0.3,0.5,0.2,2.3,2.5,1.8,0,0,0.7,1.3,1.8,2021-2022,0
511,Lance Stephenson,SG,31,IND,29,1,19.1,3.6,8,0.451,0.6,2.3,0.258,3,5.8,0.527,0.487,1.4,1.9,0.759,0.3,2.6,2.9,3.8,0.6,0.1,1.7,2.2,9.2,2021-2022,0
512,Lamar Stevens,PF,24,CLE,52,12,14.4,2.1,4.4,0.483,0.3,1,0.3,1.8,3.5,0.533,0.515,0.6,0.9,0.653,0.6,1.6,2.3,0.7,0.5,0.3,0.6,1.5,5.2,2021-2022,0
513,Isaiah Stewart,C,20,DET,60,60,25.8,3.6,7,0.516,0.1,0.4,0.154,3.5,6.5,0.54,0.52,1,1.5,0.685,3.2,5.3,8.5,1.1,0.3,1.1,1.2,3,8.3,2021-2022,0
514,Max Strus,SF,25,MIA,58,10,23.2,3.7,8.4,0.439,2.7,6.5,0.409,1,1.9,0.546,0.599,0.7,0.8,0.776,0.4,2.7,3.1,1.3,0.4,0.2,0.8,1.7,10.7,2021-2022,0
515,Jalen Suggs,PG,20,ORL,46,43,27.7,4.2,11.7,0.361,0.9,4.1,0.216,3.3,7.5,0.441,0.399,2.7,3.5,0.773,0.6,3.1,3.7,4.4,1.2,0.4,3,3,12.1,2021-2022,0
516,Craig Sword,SG,28,WAS,3,0,6.3,1,1.3,0.75,0,0.3,0,1,1,1,0.75,0,0,,0,0,0,0.3,1.3,0,0.3,2.3,2,2021-2022,0
517,Keifer Sykes,PG,28,IND,26,10,17.5,2.1,5.8,0.355,0.8,2.8,0.292,1.3,3.1,0.413,0.424,0.5,0.6,0.875,0.3,1.3,1.6,2,0.3,0.2,1,1.5,5.5,2021-2022,0
518,Jae'Sean Tate,SF,26,HOU,66,65,26.8,4.8,9.5,0.507,0.8,2.6,0.301,4,6.9,0.586,0.549,1.8,2.5,0.707,1.7,3.8,5.5,3,0.9,0.5,1.8,3.7,12.2,2021-2022,0
519,Jayson Tatum,SF,23,BOS,67,67,36.3,9.3,20.9,0.443,3,8.6,0.344,6.3,12.3,0.512,0.514,5.3,6.2,0.854,1.2,7,8.2,4.2,0.9,0.6,2.8,2.3,26.8,2021-2022,0
520,Terry Taylor,SG,22,IND,22,3,18.4,3.6,5.8,0.625,0.2,0.6,0.357,3.4,5.2,0.658,0.645,0.8,1.2,0.654,2.8,2.8,5.5,1.2,0.2,0.2,0.5,1.7,8.3,2021-2022,0
521,Garrett Temple,SG,35,NOP,56,16,18.9,1.9,5,0.383,1,3.1,0.32,0.9,1.9,0.486,0.482,0.5,0.7,0.683,0.5,2,2.5,1.3,0.8,0.4,0.7,1.4,5.4,2021-2022,0
522,Emanuel Terry,PF,25,PHO,3,0,6,0,1.7,0,0,0,,0,1.7,0,0,0,0,,2.7,2.3,5,0.7,0.3,0,1.7,1.3,0,2021-2022,0
523,Tyrell Terry,PG,21,MEM,2,0,1.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,0,0,0,0,0,0,0.5,1,2021-2022,0
