Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
,,,,,,,,,,,
Álex Abrines\abrinal01,SG,.395,1.1,.540,.848,1.5,0.4,0.5,0.1,0.3,4.7
Quincy Acy\acyqu01,PF,.356,1.5,.496,.817,3.7,0.8,0.5,0.4,0.9,5.9
Steven Adams\adamsst01,C,.629,0.0,.629,.559,9.0,1.2,1.2,1.0,1.7,13.9
Bam Adebayo\adebaba01,C,.512,0.0,.512,.721,5.5,1.5,0.5,0.6,1.0,6.9
Arron Afflalo\afflaar01,SG,.401,0.5,.485,.846,1.2,0.6,0.1,0.2,0.4,3.4
Cole Aldrich\aldrico01,C,.333,0.0,.333,.333,0.7,0.1,0.1,0.0,0.0,0.6
LaMarcus Aldridge\aldrila01,C,.510,0.4,.520,.837,8.5,2.0,0.6,1.2,1.5,23.1
Jarrett Allen\allenja01,C,.589,0.1,.596,.776,5.4,0.7,0.4,1.2,1.1,8.2
Kadeem Allen\allenka01,PG,.273,0.0,.273,.778,0.6,0.7,0.2,0.1,0.5,1.1
Tony Allen\allento01,SF,.484,0.2,.505,.524,2.1,0.4,0.5,0.1,0.9,4.7
Al-Farouq Aminu\aminual01,PF,.395,1.8,.503,.738,7.6,1.2,1.1,0.6,1.1,9.3
Justin Anderson\anderju01,SF,.431,0.9,.515,.737,2.4,0.7,0.4,0.2,0.4,6.2
Kyle Anderson\anderky01,SF,.527,0.3,.549,.712,5.4,2.7,1.6,0.8,1.3,7.9
Ryan Anderson\anderry01,PF,.431,2.0,.568,.774,5.0,0.9,0.4,0.3,0.6,9.3
Ike Anigbogu\anigbik01,C,.444,0.0,.444,.833,0.8,0.0,0.1,0.3,0.2,1.2
Giannis Antetokounmpo\antetgi01,PF,.529,0.6,.545,.760,10.0,4.8,1.5,1.4,3.0,26.9
Carmelo Anthony\anthoca01,PF,.404,2.2,.476,.767,5.8,1.3,0.6,0.6,1.3,16.2
OG Anunoby\anunoog01,SF,.471,1.0,.577,.629,2.5,0.7,0.7,0.2,0.6,5.9
Ryan Arcidiacono\arcidry01,PG,.415,0.4,.524,.833,1.0,1.5,0.5,0.0,0.5,2.0
Trevor Ariza\arizatr01,SF,.412,2.5,.542,.854,4.4,1.6,1.5,0.2,0.8,11.7
Darrell Arthur\arthuda01,PF,.468,0.4,.553,.667,0.8,0.5,0.4,0.2,0.8,2.8
Jamel Artis\artisja01,SG,.392,0.5,.443,.583,2.5,1.2,0.1,0.2,0.5,5.1
Ömer Aşık\asikom01,C,.409,0.0,.409,.308,2.6,0.2,0.1,0.2,0.5,1.2
D.J. Augustin\augusdj01,PG,.452,1.5,.557,.868,2.1,3.8,0.7,0.0,1.6,10.2
Luke Babbitt\babbilu01,SF,.423,1.2,.563,.773,1.9,0.6,0.2,0.1,0.4,5.2
Dwayne Bacon\bacondw01,SG,.375,0.2,.404,.800,2.3,0.7,0.3,0.0,0.4,3.3
Ron Baker\bakerro01,SG,.339,0.4,.432,.769,1.0,1.6,0.9,0.2,0.6,2.4
Wade Baldwin\baldwwa01,PG,.667,0.6,.762,.600,1.1,0.7,0.3,0.1,0.6,5.4
Lonzo Ball\balllo01,PG,.360,1.7,.440,.451,6.9,7.2,1.7,0.8,2.6,10.2
J.J. Barea\bareajo01,PG,.439,1.7,.522,.784,2.9,6.3,0.5,0.0,2.1,11.6
Harrison Barnes\barneha02,PF,.445,1.5,.494,.827,6.1,2.0,0.6,0.2,1.5,18.9
Will Barton\bartowi01,SG,.452,1.9,.528,.805,5.0,4.1,1.0,0.6,1.8,15.7
Nicolas Batum\batumni01,SG,.415,1.4,.486,.831,4.8,5.5,1.0,0.4,2.0,11.6
Jerryd Bayless\bayleje01,SG,.416,1.4,.519,.795,2.1,1.4,0.6,0.2,1.2,7.9
Aron Baynes\baynear01,C,.471,0.0,.474,.756,5.4,1.1,0.3,0.6,1.0,6.0
Kent Bazemore\bazemke01,SG,.420,1.7,.500,.796,3.8,3.5,1.5,0.7,2.4,12.9
Bradley Beal\bealbr01,SG,.460,2.4,.527,.791,4.4,4.5,1.2,0.4,2.6,22.6
Malik Beasley\beaslma01,SG,.410,0.5,.489,.667,1.1,0.5,0.2,0.1,0.4,3.2
Michael Beasley\beaslmi01,PF,.507,0.5,.528,.780,5.6,1.7,0.5,0.6,1.9,13.2
Marco Belinelli\belinma01,SG,.441,1.9,.539,.908,1.9,1.9,0.8,0.2,1.2,12.1
Jordan Bell\belljo01,C,.627,0.0,.627,.682,3.6,1.8,0.6,1.0,0.9,4.6
DeAndre' Bembry\bembrde01,SF,.414,0.4,.457,.576,2.8,1.9,0.8,0.5,1.8,5.2
Dragan Bender\bendedr01,PF,.386,1.4,.508,.765,4.4,1.6,0.3,0.6,1.4,6.5
Dāvis Bertāns\bertada01,PF,.440,1.2,.568,.816,2.0,1.0,0.3,0.4,0.5,5.9
Patrick Beverley\beverpa01,SG,.403,2.2,.504,.824,4.1,2.9,1.7,0.5,2.3,12.2
Khem Birch\birchkh01,C,.540,0.0,.540,.689,4.3,0.8,0.4,0.5,0.5,4.2
Jabari Bird\birdja01,SG,.577,0.2,.635,.462,1.5,0.6,0.2,0.1,0.6,3.0
Bismack Biyombo\biyombi01,C,.520,0.0,.520,.650,5.7,0.8,0.3,1.2,1.0,5.7
Nemanja Bjelica\bjeline01,PF,.461,1.1,.563,.800,4.1,1.3,0.7,0.2,0.8,6.8
Tarik Black\blackta01,C,.591,0.0,.594,.460,3.2,0.3,0.4,0.6,0.7,3.5
Antonio Blakeney\blakean01,SG,.371,0.8,.423,.769,1.7,1.1,0.4,0.1,0.6,7.9
Eric Bledsoe\bledser01,PG,.473,1.7,.536,.795,3.8,5.0,2.0,0.6,2.9,17.7
Vander Blue\blueva01,SG,.200,0.0,.200,.500,0.2,0.6,0.2,0.0,0.6,0.6
Bogdan Bogdanović\bogdabo01,SG,.446,1.7,.529,.840,2.9,3.3,0.9,0.2,1.6,11.8
Bojan Bogdanović\bogdabo02,SF,.474,1.9,.565,.868,3.4,1.5,0.7,0.1,1.3,14.3
