Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Andrew Bogut\bogutan01,C,.680,0.0,.680,1.000,3.3,0.6,0.2,0.5,0.8,1.5
Joel Bolomboy\bolomjo01,PF,.500,0.0,.500,.500,1.7,0.0,0.3,0.0,0.3,1.5
Devin Booker\bookede01,SG,.432,2.7,.501,.878,4.5,4.7,0.9,0.3,3.6,24.9
Trevor Booker\booketr01,PF,.516,0.1,.528,.710,4.7,1.2,0.4,0.3,0.9,6.3
Chris Boucher\bouchch01,PF,.000,0.0,.000,,1.0,0.0,0.0,0.0,0.0,0.0
Avery Bradley\bradlav01,SG,.414,1.6,.474,.768,2.5,2.0,1.1,0.2,2.2,14.3
Tony Bradley\bradlto01,C,.273,0.0,.273,1.000,1.2,0.1,0.0,0.0,0.0,0.9
Corey Brewer\breweco01,SF-SG,.449,0.4,.498,.722,2.1,0.9,1.1,0.2,0.7,5.3
Malcolm Brogdon\brogdma01,PG,.485,1.3,.547,.882,3.3,3.2,0.9,0.3,1.4,13.0
Aaron Brooks\brookaa01,PG,.406,0.3,.486,.727,0.5,0.6,0.2,0.0,0.3,2.3
Dillon Brooks\brookdi01,SF,.440,1.1,.501,.747,3.1,1.6,0.9,0.2,1.5,11.0
MarShon Brooks\brookma01,SG,.500,2.7,.593,.870,3.0,3.6,1.6,0.4,2.3,20.1
Anthony Brown\brownan02,SF,1.000,1.0,1.500,,0.0,1.0,0.0,0.0,0.0,3.0
Bobby Brown\brownbo02,PG,.328,0.6,.422,.500,0.4,0.6,0.2,0.0,0.5,2.5
Jaylen Brown\brownja02,SG,.465,1.7,.540,.644,4.9,1.6,1.0,0.4,1.8,14.5
Lorenzo Brown\brownlo01,PG,.412,0.1,.441,1.000,1.1,0.9,0.4,0.0,0.2,2.3
Markel Brown\brownma02,SG,.286,0.3,.357,,1.3,0.5,0.0,0.0,0.5,1.3
Sterling Brown\brownst02,SG,.400,0.6,.478,.875,2.6,0.5,0.6,0.2,0.5,4.0
Nicolás Brussino\brussni01,SF,.000,0.0,.000,,0.8,0.0,0.0,0.0,0.0,0.0
Thomas Bryant\bryanth01,C,.381,0.1,.405,.556,1.1,0.4,0.1,0.1,0.1,1.5
Reggie Bullock\bullore01,SF,.489,2.0,.603,.796,2.5,1.5,0.8,0.2,0.8,11.3
Trey Burke\burketr01,PG,.503,1.1,.552,.649,2.0,4.7,0.7,0.1,1.2,12.8
Alec Burks\burksal01,SG,.411,0.7,.467,.863,3.0,1.0,0.6,0.1,0.9,7.7
Jimmy Butler\butleji01,SG,.474,1.2,.512,.854,5.3,4.9,2.0,0.4,1.8,22.2
Dwight Buycks\buyckdw01,PG,.414,0.5,.452,.878,1.4,2.0,0.7,0.1,1.3,7.4
Bruno Caboclo\cabocbr01,SF,.290,0.3,.339,.833,1.8,0.3,0.3,0.3,0.3,2.2
José Calderón\caldejo01,PG,.503,0.8,.624,.800,1.5,2.1,0.5,0.0,0.7,4.5
Kentavious Caldwell-Pope\caldwke01,SG,.426,2.1,.526,.789,5.2,2.2,1.4,0.2,1.3,13.4
Isaiah Canaan\canaais01,PG-SG,.380,1.1,.460,.902,2.3,3.8,0.8,0.1,1.5,8.6
Clint Capela\capelca01,C,.652,0.0,.652,.560,10.8,0.9,0.8,1.9,1.4,13.9
DeMarre Carroll\carrode01,PF,.414,2.0,.506,.764,6.6,2.0,0.8,0.4,1.4,13.5
Vince Carter\cartevi01,SF,.403,1.0,.504,.757,2.6,1.2,0.7,0.4,0.6,5.4
Michael Carter-Williams\cartemi01,PG,.332,0.3,.362,.820,2.7,2.2,0.8,0.4,1.0,4.6
Alex Caruso\carusal01,PG,.431,0.4,.487,.700,1.8,2.0,0.6,0.3,1.1,3.6
Omri Casspi\casspom01,SF,.580,0.2,.604,.725,3.8,1.0,0.3,0.4,0.7,5.7
Willie Cauley-Stein\caulewi01,C,.502,0.0,.504,.619,7.0,2.4,1.1,0.9,1.5,12.8
Tyler Cavanaugh\cavanty01,PF,.441,0.8,.546,.810,3.3,0.7,0.2,0.1,0.4,4.7
Mario Chalmers\chalmma01,PG,.379,0.8,.439,.855,2.4,3.0,1.2,0.2,1.8,7.7
Tyson Chandler\chandty01,C,.647,0.0,.647,.624,9.1,1.2,0.3,0.6,1.3,6.5
Wilson Chandler\chandwi01,SF,.445,1.2,.515,.772,5.4,2.1,0.6,0.5,1.2,10.0
Marquese Chriss\chrisma01,PF,.423,0.8,.482,.608,5.5,1.2,0.7,1.0,1.5,7.7
Ian Clark\clarkia01,SG,.448,0.8,.511,.763,1.7,1.5,0.4,0.1,0.8,7.4
Jordan Clarkson\clarkjo01,SG,.451,1.4,.509,.800,2.7,2.7,0.7,0.1,1.6,13.9
Gian Clavell\clavegi01,SG,.333,0.9,.500,1.000,1.0,0.4,0.3,0.0,0.3,2.9
Antonius Cleveland\clevean01,SG,.381,0.2,.452,.667,0.8,0.1,0.4,0.3,0.4,1.4
John Collins\collijo01,PF,.576,0.2,.591,.715,7.3,1.3,0.6,1.1,1.4,10.5
Zach Collins\colliza01,C,.398,0.5,.458,.643,3.3,0.8,0.3,0.5,0.9,4.4
Kyle Collinsworth\colliky01,SF,.384,0.1,.404,.525,3.3,1.8,0.5,0.3,0.8,3.2
Darren Collison\collida01,PG,.495,1.4,.571,.882,2.6,5.3,1.3,0.2,1.2,12.4
Nick Collison\collini01,PF,.684,0.0,.684,.385,1.3,0.3,0.0,0.0,0.5,2.1
Mike Conley\conlemi01,PG,.381,2.0,.452,.803,2.3,4.1,1.0,0.3,1.5,17.1
Pat Connaughton\connapa01,SG,.423,0.9,.518,.841,2.0,1.1,0.3,0.3,0.5,5.4
Quinn Cook\cookqu01,PG,.484,1.4,.575,.880,2.5,2.7,0.4,0.0,1.0,9.5
Charles Cooke\cookech01,SG,.143,0.1,.179,.500,0.2,0.1,0.1,0.0,0.1,0.5
Jack Cooley\cooleja01,PF,.481,0.0,.481,.737,4.3,0.9,0.1,0.0,0.4,5.7
Matt Costello\costema01,C,.500,0.0,.500,,2.3,0.5,0.5,0.5,0.3,1.0
DeMarcus Cousins\couside01,C,.470,2.2,.530,.746,12.9,5.4,1.6,1.6,5.0,25.2
Robert Covington\covinro01,SF,.413,2.5,.534,.853,5.4,2.0,1.7,0.9,1.6,12.6
Allen Crabbe\crabbal01,SG,.407,2.7,.529,.852,4.3,1.6,0.6,0.5,1.0,13.2
Torrey Craig\craigto01,SF,.453,0.4,.515,.629,3.3,0.6,0.3,0.4,0.5,4.2
Jamal Crawford\crawfja01,SG,.415,1.3,.485,.903,1.2,2.3,0.5,0.1,1.2,10.3
Jordan Crawford\crawfjo02,SG,.444,1.6,.593,1.000,0.8,2.6,0.2,0.2,1.0,6.6
Jae Crowder\crowdja01,SF,.404,1.4,.486,.818,3.4,1.2,0.8,0.3,0.9,9.7
Dante Cunningham\cunnida01,SF,.451,0.8,.530,.596,4.1,0.7,0.5,0.4,0.5,5.7
Stephen Curry\curryst01,PG,.495,4.2,.618,.921,5.1,6.1,1.6,0.2,3.0,26.4
Troy Daniels\danietr01,SG,.403,2.3,.563,.875,1.6,0.6,0.3,0.1,0.7,8.9
Anthony Davis\davisan02,PF,.534,0.7,.552,.828,11.1,2.3,1.5,2.6,2.2,28.1
Deyonta Davis\davisde01,C,.608,0.0,.608,.667,4.0,0.6,0.2,0.6,0.5,5.8
Ed Davis\davised01,C,.582,0.0,.582,.667,7.4,0.5,0.4,0.7,0.8,5.3
Dewayne Dedmon\dedmode01,C,.524,0.8,.577,.779,7.9,1.5,0.6,0.8,1.4,10.0
Sam Dekker\dekkesa01,PF,.494,0.1,.514,.661,2.4,0.5,0.3,0.1,0.5,4.2
Malcolm Delaney\delanma01,PG,.382,0.9,.463,.804,1.9,3.0,0.6,0.1,1.2,6.3
Matthew Dellavedova\dellama01,PG,.362,0.8,.457,.926,1.7,3.8,0.4,0.0,1.3,4.3
Luol Deng\denglu01,SF,.500,0.0,.500,,0.0,1.0,1.0,0.0,1.0,2.0
DeMar DeRozan\derozde01,SG,.456,1.1,.488,.825,3.9,5.2,1.1,0.3,2.2,23.0
Cheick Diallo\diallch01,PF,.580,0.0,.580,.758,4.1,0.4,0.2,0.4,0.5,4.9
Gorgui Dieng\dienggo01,C,.479,0.2,.504,.775,4.6,0.9,0.6,0.5,0.7,5.9
Spencer Dinwiddie\dinwisp01,PG,.387,1.8,.471,.813,3.2,6.6,0.9,0.3,1.6,12.6
Tyler Dorsey\dorsety01,SG,.377,1.3,.471,.714,2.3,1.4,0.3,0.1,0.7,7.2
Damyean Dotson\dotsoda01,SG,.447,0.5,.516,.696,1.9,0.7,0.3,0.0,0.4,4.1
Milton Doyle\doylemi01,SG,.277,0.4,.319,.500,1.8,1.0,0.6,0.2,0.2,3.4
PJ Dozier\doziepj01,PG,.500,0.0,.500,,0.5,0.0,0.0,0.0,0.5,1.0
Goran Dragić\dragigo01,PG,.450,1.5,.502,.801,4.1,4.8,0.8,0.2,2.2,17.3
Larry Drew II\drewla02,PG,.292,0.3,.354,,0.3,1.0,0.0,0.0,0.3,1.7
Andre Drummond\drumman01,C,.529,0.0,.529,.605,16.0,3.0,1.5,1.6,2.6,15.0
Jared Dudley\dudleja01,PF,.393,0.6,.512,.771,2.0,1.6,0.5,0.2,0.6,3.2
Kris Dunn\dunnkr01,PG,.429,0.8,.462,.737,4.3,6.0,2.0,0.5,2.9,13.4
Kevin Durant\duranke01,SF,.516,2.5,.586,.889,6.8,5.4,0.7,1.8,3.0,26.4
Jarell Eddie\eddieja01,SF,.000,0.0,.000,,0.3,0.0,0.3,0.0,0.0,0.0
Henry Ellenson\ellenhe01,PF,.363,0.5,.432,.862,2.1,0.5,0.1,0.0,0.5,4.0
Wayne Ellington\ellinwa01,SG,.407,2.9,.569,.859,2.8,1.0,0.7,0.1,0.7,11.2
Joel Embiid\embiijo01,C,.483,1.0,.514,.769,11.0,3.2,0.6,1.8,3.7,22.9
James Ennis\ennisja01,SF,.474,0.7,.540,.836,3.1,1.0,0.7,0.3,0.8,7.1
Tyler Ennis\ennisty01,PG,.420,0.3,.451,.759,1.8,1.9,0.6,0.2,0.7,4.1
Jawun Evans\evansja01,PG,.352,0.3,.381,.776,1.8,2.1,0.8,0.1,0.9,4.8
Jeremy Evans\evansje01,SF,1.000,0.0,1.000,,1.0,0.0,0.0,0.0,1.0,2.0
Tyreke Evans\evansty01,PG,.452,2.2,.523,.785,5.1,5.2,1.1,0.3,2.3,19.4
Dante Exum\exumda01,PG,.483,0.4,.511,.806,1.9,3.1,0.6,0.2,1.4,8.1
Kenneth Faried\farieke01,PF,.514,0.0,.514,.706,4.8,0.6,0.4,0.4,0.7,5.9
Derrick Favors\favorde01,C,.563,0.2,.573,.651,7.2,1.3,0.7,1.1,1.1,12.3
Kay Felder\feldeka01,PG,.300,0.3,.329,.917,1.1,1.3,0.2,0.1,1.0,3.6
Cristiano Felício\feliccr01,C,.591,0.0,.591,.667,4.2,1.0,0.3,0.2,1.0,5.6
Raymond Felton\feltora01,PG,.406,1.0,.479,.818,1.9,2.5,0.6,0.2,0.9,6.9
Terrance Ferguson\fergute01,SG,.414,0.7,.533,.900,0.8,0.3,0.4,0.2,0.2,3.1
Yogi Ferrell\ferreyo01,SG,.426,1.6,.518,.796,3.0,2.5,0.8,0.1,1.0,10.2
Dorian Finney-Smith\finnedo01,PF,.380,1.0,.463,.733,3.6,1.2,0.5,0.2,1.0,5.9
Bryn Forbes\forbebr01,SG,.421,1.1,.510,.667,1.4,1.0,0.4,0.0,0.5,6.9
Evan Fournier\fournev01,SF,.459,2.2,.538,.867,3.2,2.9,0.8,0.3,1.7,17.8
De'Aaron Fox\foxde01,PG,.412,0.6,.441,.723,2.8,4.4,1.0,0.3,2.4,11.6
Tim Frazier\fraziti01,PG,.395,0.3,.445,.767,1.9,3.3,0.8,0.1,1.0,3.0
Channing Frye\fryech01,C,.491,0.7,.583,.895,2.5,0.7,0.3,0.2,0.4,5.0
Markelle Fultz\fultzma01,SG,.405,0.0,.405,.476,3.1,3.8,0.9,0.3,1.2,7.1
Danilo Gallinari\gallida01,SF,.398,1.7,.469,.931,4.8,2.0,0.6,0.5,1.2,15.3
Langston Galloway\gallola01,SG,.371,1.3,.481,.805,1.6,1.0,0.6,0.1,0.3,6.2
Marc Gasol\gasolma01,C,.420,1.5,.473,.834,8.1,4.2,0.7,1.4,2.7,17.2
Pau Gasol\gasolpa01,C,.458,0.6,.492,.756,8.0,3.1,0.3,1.0,1.4,10.1
Rudy Gay\gayru01,PF,.471,0.6,.506,.772,5.1,1.3,0.8,0.7,1.4,11.5
Paul George\georgpa01,SF,.430,3.1,.521,.822,5.7,3.3,2.0,0.5,2.7,21.9
Marcus Georges-Hunt\georgma01,SG,.438,0.1,.479,.619,0.4,0.2,0.1,0.0,0.1,1.4
Jonathan Gibson\gibsojo01,PG,.609,1.5,.739,,0.8,1.0,0.0,0.0,0.8,8.5
Taj Gibson\gibsota01,PF,.577,0.1,.581,.768,7.1,1.2,0.8,0.7,1.1,12.2
Manu Ginóbili\ginobma01,SG,.434,1.0,.503,.840,2.2,2.5,0.7,0.2,1.6,8.9
Rudy Gobert\goberru01,C,.622,0.0,.622,.682,10.7,1.4,0.8,2.3,1.9,13.5
Aaron Gordon\gordoaa01,PF,.434,2.0,.500,.698,7.9,2.3,1.0,0.8,1.8,17.6
Eric Gordon\gordoer01,SG,.428,3.2,.540,.809,2.5,2.2,0.6,0.4,1.9,18.0
Marcin Gortat\gortama01,C,.518,0.0,.518,.675,7.6,1.8,0.5,0.7,1.2,8.4
Treveon Graham\grahatr01,SG,.434,0.6,.525,.695,1.9,0.9,0.5,0.0,0.4,4.3
Jerami Grant\grantje01,PF,.535,0.4,.570,.675,3.9,0.7,0.4,1.0,0.7,8.4
Jerian Grant\grantje02,PG,.416,0.8,.476,.745,2.3,4.6,0.9,0.1,1.2,8.4
Josh Gray\grayjo01,PG,.268,0.6,.305,.636,2.0,2.4,1.6,0.4,1.4,6.4
Danny Green\greenda02,SG,.387,1.7,.490,.769,3.6,1.6,0.9,1.1,1.1,8.6
Draymond Green\greendr01,PF,.454,1.1,.516,.775,7.6,7.3,1.4,1.3,2.9,11.0
Gerald Green\greenge01,SG,.407,2.7,.540,.850,3.2,0.6,0.6,0.4,0.8,12.1
JaMychal Green\greenja01,PF,.457,0.8,.501,.721,8.4,1.4,0.6,0.5,1.4,10.3
Jeff Green\greenje02,PF,.477,0.7,.520,.868,3.2,1.3,0.5,0.4,1.0,10.8
Blake Griffin\griffbl01,PF,.438,1.9,.493,.785,7.4,5.8,0.7,0.3,2.8,21.4
Daniel Hamilton\hamilda02,SG,.455,0.3,.545,,0.8,1.3,0.2,0.0,0.3,2.0
Tim Hardaway Jr.\hardati02,SG,.421,2.3,.496,.816,3.9,2.7,1.1,0.2,1.6,17.5
James Harden\hardeja01,SG,.449,3.7,.541,.858,5.4,8.8,1.8,0.7,4.4,30.4
Maurice Harkless\harklma01,SF,.495,0.8,.577,.712,2.7,0.9,0.8,0.7,0.7,6.5
Montrezl Harrell\harremo01,C,.635,0.0,.636,.626,4.0,1.0,0.5,0.7,0.9,11.0
Devin Harris\harride01,PG,.412,1.1,.499,.835,1.8,2.1,0.7,0.2,1.1,8.4
Gary Harris\harriga01,SG,.485,2.3,.570,.827,2.6,2.9,1.8,0.2,1.8,17.5
Joe Harris\harrijo01,SG,.491,1.9,.612,.827,3.3,1.6,0.4,0.3,1.2,10.8
Tobias Harris\harrito02,PF,.460,2.3,.535,.829,5.5,2.4,0.9,0.4,1.3,18.6
Aaron Harrison\harriaa01,SG,.275,1.0,.341,.765,2.7,1.2,1.0,0.2,0.3,6.7
Andrew Harrison\harrian01,PG,.422,0.8,.477,.780,2.3,3.2,0.7,0.5,1.4,9.5
Shaquille Harrison\harrish01,PG,.476,0.3,.500,.737,2.7,2.4,1.1,0.3,1.0,6.6
Josh Hart\hartjo01,SG,.469,1.2,.573,.702,4.2,1.3,0.7,0.3,0.7,7.9
Udonis Haslem\hasleud01,C,.200,0.1,.233,.500,0.7,0.4,0.0,0.1,0.1,0.6
Nigel Hayes\hayesni01,SF,.333,0.4,.394,.333,2.4,0.7,0.2,0.3,0.2,3.0
Gordon Hayward\haywago01,SF,.500,0.0,.500,,1.0,0.0,0.0,0.0,0.0,2.0
Reggie Hearn\hearnre01,SG,.500,0.3,.750,,0.0,0.0,0.0,0.0,0.0,1.0
Myke Henry\henrymy01,SF,.376,1.0,.463,.600,1.9,1.1,1.6,0.3,1.0,5.4
John Henson\hensojo01,C,.572,0.0,.573,.570,6.8,1.5,0.6,1.4,1.1,8.8
Juan Hernangómez\hernaju01,PF,.387,0.6,.480,.833,2.2,0.5,0.2,0.1,0.4,3.3
Willy Hernangómez\hernawi01,C,.555,0.1,.570,.656,3.8,0.7,0.4,0.3,0.7,5.1
Mario Hezonja\hezonma01,SF,.442,1.2,.515,.819,3.7,1.4,1.1,0.4,1.1,9.6
Isaiah Hicks\hicksis01,PF,.458,0.1,.472,.667,2.3,0.9,0.1,0.2,0.9,4.4
Buddy Hield\hieldbu01,SG,.446,2.2,.540,.877,3.8,1.9,1.1,0.3,1.6,13.5
Nenê\hilarne01,C,.569,0.0,.569,.636,3.4,0.9,0.5,0.3,0.7,6.5
George Hill\hillge01,PG,.460,1.3,.543,.786,2.7,2.8,0.9,0.4,1.3,10.0
Solomon Hill\hillso01,SF,.268,0.3,.317,.500,3.0,1.8,0.6,0.1,0.8,2.4
Darrun Hilliard\hillida01,SG,.263,0.0,.263,.857,0.5,0.8,0.1,0.0,0.3,1.1
Jrue Holiday\holidjr01,SG,.494,1.5,.543,.786,4.5,6.0,1.5,0.8,2.6,19.0
Justin Holiday\holidju01,SG,.371,2.2,.474,.823,4.0,2.1,1.1,0.4,1.3,12.2
John Holland\hollajo02,SF,.288,0.5,.381,.692,1.0,0.2,0.3,0.1,0.3,2.3
Rondae Hollis-Jefferson\holliro01,SF,.472,0.2,.481,.788,6.8,2.5,1.0,0.7,1.8,13.9
Richaun Holmes\holmeri01,C,.560,0.1,.568,.661,4.4,1.3,0.4,0.6,0.5,6.5
Rodney Hood\hoodro01,SG,.429,2.1,.513,.860,2.8,1.6,0.8,0.2,1.2,14.7
Scotty Hopson\hopsosc01,SG,.000,0.0,.000,.500,0.0,1.0,0.0,0.0,1.0,1.0
Al Horford\horfoal01,C,.489,1.3,.553,.783,7.4,4.7,0.6,1.1,1.8,12.9
Danuel House\houseda01,SG,.434,0.7,.492,.806,3.3,1.1,0.3,0.3,0.5,6.6
Dwight Howard\howardw01,C,.555,0.0,.556,.574,12.5,1.3,0.6,1.6,2.6,16.6
Josh Huestis\huestjo01,PF,.330,0.5,.420,.300,2.3,0.3,0.2,0.6,0.4,2.3
R.J. Hunter\hunterj01,SG,.350,0.6,.425,1.000,1.0,0.6,0.6,0.0,0.4,3.8
Vince Hunter\huntevi01,PF,.600,0.0,.600,,0.8,0.0,0.0,0.3,0.3,1.5
Serge Ibaka\ibakase01,PF,.483,1.4,.552,.797,6.3,0.8,0.4,1.3,1.2,12.6
Andre Iguodala\iguodan01,SF,.463,0.5,.514,.632,3.8,3.3,0.8,0.6,1.0,6.0
Ersan İlyasova\ilyaser01,PF,.452,1.3,.526,.778,5.9,1.3,0.9,0.4,1.0,10.9
Joe Ingles\inglejo01,SF,.467,2.5,.609,.795,4.2,4.8,1.1,0.2,1.9,11.5
Andre Ingram\ingraan01,SG,.471,2.5,.618,1.000,3.0,3.5,1.5,1.5,1.5,12.0
Brandon Ingram\ingrabr01,SF,.470,0.7,.497,.681,5.3,3.9,0.8,0.7,2.5,16.1
Kyrie Irving\irvinky01,PG,.491,2.8,.568,.889,3.8,5.1,1.1,0.3,2.3,24.4
Jonathan Isaac\isaacjo01,PF,.379,0.6,.434,.760,3.7,0.7,1.2,1.1,1.0,5.4
Wesley Iwundu\iwundwe01,SF,.427,0.1,.447,.723,2.2,0.9,0.5,0.2,0.5,3.7
Jarrett Jack\jackja01,PG,.427,0.4,.455,.840,3.1,5.6,0.6,0.1,1.9,7.5
Aaron Jackson\jacksaa01,PG,.333,1.0,.389,.500,3.0,1.0,0.0,0.0,1.0,8.0
Demetrius Jackson\jacksde01,PG,.389,0.1,.417,.500,0.8,0.6,0.3,0.1,0.7,1.1
Josh Jackson\jacksjo02,SF,.417,0.7,.448,.634,4.6,1.5,1.0,0.5,1.9,13.1
Justin Jackson\jacksju01,SF,.442,0.8,.510,.722,2.8,1.1,0.4,0.2,0.6,6.7
Reggie Jackson\jacksre01,PG,.426,1.2,.471,.836,2.8,5.3,0.6,0.1,2.2,14.6
LeBron James\jamesle01,PF,.542,1.8,.590,.731,8.6,9.1,1.4,0.9,4.2,27.5
Mike James\jamesmi02,PG,.383,0.7,.424,.762,2.5,3.5,0.8,0.2,1.4,9.3
Al Jefferson\jeffeal01,C,.534,0.0,.534,.833,4.0,0.8,0.4,0.6,0.6,7.0
Richard Jefferson\jefferi01,SF,.444,0.1,.481,.571,0.9,0.8,0.1,0.1,0.3,1.5
Brandon Jennings\jennibr01,PG,.375,0.6,.438,1.000,2.2,3.1,0.4,0.3,1.3,5.2
Jonas Jerebko\jerebjo01,PF,.466,0.9,.562,.807,3.3,0.6,0.3,0.2,0.4,5.8
Amir Johnson\johnsam01,C,.538,0.1,.558,.612,4.5,1.6,0.6,0.6,0.7,4.6
Brice Johnson\johnsbr02,PF,.476,0.0,.476,.600,1.7,0.1,0.5,0.3,0.3,2.4
Dakari Johnson\johnsda04,C,.564,0.0,.564,.550,1.1,0.3,0.2,0.3,0.1,1.8
